,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher
0,"…  diversity of corpus callosum and brain volume in autism: meta-analysis, analysis of the Autism Brain Imaging Data Exchange project, and simulation",http://www.sciencedirect.com/science/article/pii/S0006322315001018,2015,29,14,5664898146023481785,,"http://scholar.google.com/scholar?cites=5664898146023481785&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5664898146023481785&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:uaF_ktnCnU4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvAC9IHlG1ZpUxcyS7kyRqSoFj7OR&scisf=4&ct=citation&cd=0&hl=en,"Background Patients with autism have been often reported to have a smaller corpus callosum (CC) than control subjects. Methods We conducted a meta-analysis of the literature, analyzed the CC in 694 subjects of the Autism Brain Imaging Data Exchange ",Biological psychiatry,"Lefebvre, Aline & Beggiato, Anita & Bourgeron, Thomas & Toro, Roberto",Elsevier
1,Thalamocortical dysconnectivity in autism spectrum disorder: An analysis of the autism brain imaging data exchange,http://www.sciencedirect.com/science/article/pii/S2451902216301100,2017,1,2,5660498608587346874,,"http://scholar.google.com/scholar?cites=5660498608587346874&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5660498608587346874&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:uhNxcH4hjk4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvH4nEnsR5obhO_shM3MDs5V_bbyi&scisf=4&ct=citation&cd=1&hl=en,Background Individuals with autism spectrum disorder (ASD) exhibit differences in basic sensorimotor processing as well as general cortical excitability. These observations converge to implicate thalamocortical connectivity as a potential unifying neural mechanism. ,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,"Woodward, Neil D & Giraldo-Chica, Monica & Rogers, Baxter & Cascio, Carissa J",Elsevier
2,Analysis of alcohol use disorders from the Nathan Kline Institute—Rockland Sample: Correlation of brain cortical thickness with neuroticism,http://www.sciencedirect.com/science/article/pii/S0376871616309917,2017,0,4,,,,"http://scholar.google.com/scholar?cluster=10542987151082616527&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:z3bJa_Q2UJIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvCGj_8qKtrbeZpYjPGGtUxz90K46&scisf=4&ct=citation&cd=2&hl=en,"Background Although differences in both neuroanatomical measures and personality traits, in particular neuroticism, have been associated with alcohol use disorders (AUD), whether lifetime AUD diagnosis alters the relationship between neuroticism and neuroanatomical ",Drug and Alcohol Dependence,"Zhao, Yihong & Zheng, Zhi-Liang & Castellanos, F Xavier",Elsevier
3,The Neuro Bureau ADHD-200 Preprocessed Repository,http://www.sciencedirect.com/science/article/pii/S105381191630283X,2017,2,7,16710486226758151241,,"http://scholar.google.com/scholar?cites=16710486226758151241&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=16710486226758151241&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:SSz68a-S5-cJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvPOA6ljEEJpPEfnLW7XwdIxv8YQ8&scisf=4&ct=citation&cd=3&hl=en,"Abstract In 2011, the “ADHD-200 Global Competition” was held with the aim of identifying biomarkers of attention-deficit/hyperactivity disorder from resting-state functional magnetic resonance imaging (rs-fMRI) and structural MRI (s-MRI) data collected on 973 individuals. ",Neuroimage,"Bellec, Pierre & Chu, Carlton & Chouinard-Decorte, Francois & Benhajali, Yassine & Margulies, Daniel S & Craddock, R Cameron",Elsevier
4,Abnormalities of inter-and intra-hemispheric functional connectivity in autism spectrum disorders: a study using the autism brain imaging data exchange  …,http://scholar.google.com/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4853413/,2016,3,9,17714078796950533575,,"http://scholar.google.com/scholar?cites=17714078796950533575&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17714078796950533575&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:x_WDB9AM1fUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvLkqbqbex57JLovjYf7T5d9w-CU4&scisf=4&ct=citation&cd=4&hl=en,"Abstract Recently, the Autism Brain Imaging Data Exchange (ABIDE) project revealed decreased functional connectivity in individuals with Autism Spectrum Disorders (ASD) relative to the typically developing controls (TDCs). However, it is still questionable whether ",Frontiers in neuroscience,"Lee, Jung Min & Kyeong, Sunghyun & Kim, Eunjoo & Cheon, Keun-Ah",Frontiers Media SA
5,Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II,http://scholar.google.com/https://lirias.kuleuven.be/handle/123456789/569415,2017,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:7KpNW--BEm4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvJZCtFP9Bhv-Z-p4VQsgMGKPqxj4&scisf=4&ct=citation&cd=5&hl=en,"Abstract: The second iteration of the Autism Brain Imaging Data Exchange (ABIDE II) aims to enhance the scope of brain connectomics research in Autism Spectrum Disorder (ASD). Consistent with the initial ABIDE effort (ABIDE I), that released 1112 datasets in 2012, this ",Scientific Data,"Di Martino, Adriana & O'Connor, David & Chen, Bosi & Alaerts, Kaat & Anderson, Jeffrey & Assaf, Michal & Balsters, Joshua & Baxter, Leslie & Beggiato, Anita & Bernaerts, Sylvie & others",Nature Publishing Group
6,Autism Brain Imaging Data Exchange,,2016,2,0,7574484228566524528,,"http://scholar.google.com/scholar?cites=7574484228566524528&as_sdt=2005&sciodt=0,5&hl=en",,http://scholar.googleusercontent.com/scholar.bib?q=info:cKKBSEb5HWkJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvAPV70FX6Idagm3SXhSjZoEQaxQD&scisf=4&ct=citation&cd=6&hl=en,,,"Exchange, Autism Brain Imaging Data",
7,The NITRC image repository,http://www.sciencedirect.com/science/article/pii/S1053811915004644,2016,7,6,15299249763753028400,,"http://scholar.google.com/scholar?cites=15299249763753028400&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=15299249763753028400&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:MGt66pnaUdQJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvBav-z6HAvwQc6cUFkBu3Yu3vmaU&scisf=4&ct=citation&cd=7&hl=en,"... ABIDE b, 1112, age 6–64 years, 17, Str/RS, nii. ADHD-200 c, 973, age 7–26 years, 8, Str/RS,nii. Beijing Enhanced d, 180, age 17–28 years, 1, Str/RS/Diff, nii. ... a http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html. b http://fcon_1000.projects.nitrc.org/indi/abide/. c ...",Neuroimage,"Kennedy, David N & Haselgrove, Christian & Riehl, Jon & Preuss, Nina & Buccigrossi, Robert",Elsevier
8,Sharing data in the cloud,,2016,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:s1UaxXHFtBYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvOSL4FBynabKlNKnO01rM1IrtANK&scisf=4&ct=citation&cd=8&hl=en,,GigaScience,"O’Connor, David & Clark, Daniel J & Milham, Michael P & Craddock, R Cameron",Oxford University Press
9,A cortical surface-based geodesic distance package for Python,,2016,0,2,,,,"http://scholar.google.com/scholar?cluster=6578539267640453569&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:wemq_JuqS1sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvLYxONXF1QrngZ0H11S7hGBGvoTx&scisf=4&ct=citation&cd=9&hl=en,,GigaScience,"Margulies, Daniel S & Falkiewicz, Marcel & Huntenburg, Julia M",Oxford University Press
