Location,Titles
"-1.450794,-48.4485456",Applications To Human Brain Functional Networks
"-14.235004,-51.92528",Abnormal functional resting-state networks in ADHD: graph theory and pattern recognition analysis of fMRI data
"-21.1622992,-47.85268749999999",Analyzing the association between functional connectivity of the brain and intellectual performance
"-21.1640579,-47.8589365",Analyzing the association between functional connectivity of the brain and intellectual performance
"-22.8589205,-43.2305214",Universality in human cortical folding in health and disease
"-23.1639463,-45.7938741",Resting state functional connectivity of the basal nucleus of Meynert in humans: in comparison to the ventral striatum and the effects of age
"-23.5422363,-46.6485278",Using deep belief network modelling to characterize differences in brain morphometry in schizophrenia
"-23.556985,-46.668067",Abnormal functional resting-state networks in ADHD: graph theory and pattern recognition analysis of fMRI data
"-23.5579593,-46.67029300000001",Evaluation of pattern recognition and feature extraction methods in ADHD prediction
"-23.5595116,-46.73130399999999","A statistical method to distinguish functional brain networks, A non‐parametric statistical test to compare clusters with applications in functional magnetic resonance imaging data, ANOCVA in R: A Software to Compare Clusters between Groups and Its Application to the Study of Autism Spectrum Disorder, Identification of segregated regions in the functional brain connectome of autistic patients by a combination of fuzzy spectral clustering and entropy analysis"
"-23.5613991,-46.7307891",Resting-state functional connectivity in normal brain aging
"-23.5728114,-46.66885389999999",ANOCVA in R: A Software to Compare Clusters between Groups and Its Application to the Study of Autism Spectrum Disorder
"-23.5916604,-46.6490459","Using deep belief network modelling to characterize differences in brain morphometry in schizophrenia, Evaluation of pattern recognition and feature extraction methods in ADHD prediction"
"-23.6441964,-46.5284139","Measuring abnormal brains: building normative rules in neuroimaging using one-class support vector machines, Evaluation of pattern recognition and feature extraction methods in ADHD prediction, Abnormal brain connectivity patterns in adults with ADHD: a coherence study, A test-retest dataset for assessing long-term reliability of brain morphology and resting-state brain activity, Identification of segregated regions in the functional brain connectome of autistic patients by a combination of fuzzy spectral clustering and entropy analysis, ANOCVA in R: A Software to Compare Clusters between Groups and Its Application to the Study of Autism Spectrum Disorder, Abnormal functional resting-state networks in ADHD: graph theory and pattern recognition analysis of fMRI data, Using deep belief network modelling to characterize differences in brain morphometry in schizophrenia"
"-23.6759785,-46.5625078",Using deep learning to investigate the neuroimaging correlates of psychiatric and neurological disorders: methods and applications
"-26.1781718,28.0461172",Brain activity during rest
"-27.4460245,153.0296929",MilxXplore: a web-based system to explore large imaging datasets
"-27.449561,153.027266",Heritability of the network architecture of intrinsic brain functional connectivity
"-27.4954306,153.0120301","A multivariate distance-based analytic framework for connectome-wide association studies, The Dynamics of Functional Brain Networks: Integrated Network States during Cognitive Task Performance"
"-27.495728,153.014895",Heritability of the network architecture of intrinsic brain functional connectivity
"-27.4994206,153.0117248","Assessing Variations in Areal Organization for the Intrinsic Brain: From Fingerprints to Reliability, Parcellation of the primary cerebral cortices based on local connectivity profiles, A data-driven method to reduce the impact of region size on degree metrics in voxel-wise functional brain networks., Tractography-based Parcellation of the Human Middle Temporal Gyrus., Functional organization of the fusiform gyrus revealed with connectivity profiles, Connectivity-based parcellation of the human temporal pole using diffusion tensor imaging, Functional topography of the right inferior parietal lobule structured by anatomical connectivity profiles"
"-27.500249,153.0121064","A multivariate distance-based analytic framework for connectome-wide association studies, Heritability of the network architecture of intrinsic brain functional connectivity"
"-29.6815624,-51.0586345","Multimodal connectivity mapping of the human left anterior and posterior lateral prefrontal cortex, A seed-based cross-modal comparison of brain connectivity measures"
"-30.0338411,-51.21857019999999",Abnormal functional resting-state networks in ADHD: graph theory and pattern recognition analysis of fMRI data
"-30.0550566,-51.17552389999999","Brainhack: a collaborative workshop for the open neuroscience community, Evaluating the reliability of different preprocessing steps to estimate graph theoretical measures in resting state fMRI data, Brainhack: a collaborative workshop for the open neuroscience community"
"-30.0551951,-51.17386279999999","Brainhack: a collaborative workshop for the open neuroscience community, Evaluating the reliability of different preprocessing steps to estimate graph theoretical measures in resting state fMRI data, Brainhack: a collaborative workshop for the open neuroscience community"
"-30.05931409999999,-51.1751459",Evaluating the reliability of different preprocessing steps to estimate graph theoretical measures in resting state fMRI data
"-30.0598503,-51.1742297","Brainhack: a collaborative workshop for the open neuroscience community, Evaluating the reliability of different preprocessing steps to estimate graph theoretical measures in resting state fMRI data, Brainhack: a collaborative workshop for the open neuroscience community"
"-30.061183,-51.17379099999999","Brainhack: a collaborative workshop for the open neuroscience community, Brainhack: a collaborative workshop for the open neuroscience community"
"-31.940444,115.826776",A Prospective Ultrasound Study of Prenatal Growth in Infant Siblings of Children With Autism
"-31.94507,115.8364","COINSTAC: a privacy enabled model and prototype for leveraging and processing decentralized brain imaging data, Elizabeth Usher Memorial Lecture: Rethinking the clinical pathway for autism spectrum disorder and challenging the status quo"
"-31.981179,115.8199096",A Prospective Ultrasound Study of Prenatal Growth in Infant Siblings of Children With Autism
"-33.050719,-71.6107389",ISDN2014 0096
"-33.385195,-70.53141699999999",Stereoscopic three-dimensional visualization applied to multimodal brain images: clinical applications and a functional connectivity atlas
"-33.4411279,-70.6407933",Development of social skills in children: neural and behavioral evidence for the elaboration of cognitive models
"-33.4416745,-70.6406173",Development of social skills in children: neural and behavioral evidence for the elaboration of cognitive models
"-33.4445204,-70.6509277",Development of social skills in children: neural and behavioral evidence for the elaboration of cognitive models
"-33.7766768,151.1121023",Action observation and imitation in autism spectrum disorders: an ALE meta-analysis of fMRI studies
"-33.8743446,151.2131667",Applications To Human Brain Functional Networks
"-33.888025,151.187091",Eigenmodes of brain activity: Neural field theory predictions and comparison with experiment
"-33.888584,151.1873473","Eigenmodes of brain activity: Neural field theory predictions and comparison with experiment, Neuroimaging of ADHD"
"-33.8887084,151.1920539",Eigenmodes of brain activity: Neural field theory predictions and comparison with experiment
"-33.8887847,151.1781054",Estimating large-scale network convergence in the human functional connectome
"-33.917347,151.2312675","Weight-conserving characterization of complex functional brain networks, Heterogeneity within autism spectrum disorders: what have we learned from neuroimaging studies?"
"-33.920553,151.237921","Heterogeneity within autism spectrum disorders: what have we learned from neuroimaging studies?, The Dynamics of Functional Brain Networks: Integrated Network States during Cognitive Task Performance"
"-34.5729048,-58.5356149",The voxel-wise functional connectome can be efficiently derived from co-activations in a sparse spatio-temporal point-process
"-34.607265,-58.39726799999999",The voxel-wise functional connectome can be efficiently derived from co-activations in a sparse spatio-temporal point-process
"-36.852994,174.7679361",Structural magnetic resonance imaging of autism spectrum disorder
"-37.71913869999999,145.0471658",A Prospective Ultrasound Study of Prenatal Growth in Infant Siblings of Children With Autism
"-37.7207268,145.0483946",Neuroimaging of ADHD
"-37.7555503,145.0582112","Features of the broader autism phenotype in people with epilepsy support shared mechanisms between epilepsy and autism spectrum disorder, MRI correlates of general intelligence in neurotypical adults"
"-37.75613329999999,145.0598074",MRI correlates of general intelligence in neurotypical adults
"-37.7934909,144.9493056","Features of the broader autism phenotype in people with epilepsy support shared mechanisms between epilepsy and autism spectrum disorder, Research Review: Language problems in children with Attention‐Deficit Hyperactivity Disorder–a systematic meta‐analytic review, Neuroimaging of ADHD"
"-37.793679,144.949333","Research Review: Language problems in children with Attention‐Deficit Hyperactivity Disorder–a systematic meta‐analytic review, MRI correlates of general intelligence in neurotypical adults, Neuroimaging of ADHD"
"-37.7963689,144.9611738","An automated method for identifying artifact in independent component analysis of resting-state fMRI, Research Review: Language problems in children with Attention‐Deficit Hyperactivity Disorder–a systematic meta‐analytic review, MRI correlates of general intelligence in neurotypical adults, Neuroimaging of ADHD"
"-37.7967453,144.9628105","Features of the broader autism phenotype in people with epilepsy support shared mechanisms between epilepsy and autism spectrum disorder, Research Review: Language problems in children with Attention‐Deficit Hyperactivity Disorder–a systematic meta‐analytic review, MRI correlates of general intelligence in neurotypical adults"
"-37.79825570000001,144.9585163",MRI correlates of general intelligence in neurotypical adults
"-37.7983079,144.958554","An automated method for identifying artifact in independent component analysis of resting-state fMRI, Quantitative assessment of corpus callosum morphology in periventricular nodular heterotopia, Pooling morphometric estimates: a statistical equivalence approach"
"-37.7986147,144.9548579",A Prospective Ultrasound Study of Prenatal Growth in Infant Siblings of Children With Autism
"-37.7987349,144.9563131",MRI correlates of general intelligence in neurotypical adults
"-37.8017024,144.961959",Brain connectivity and mental illness
"-37.8077771,144.9783353",Mapping the functional connectome in traumatic brain injury: what can graph metrics tell us?
"-37.8444196,145.1122542",Neuroimaging of ADHD
"-37.91147309999999,145.1344641",Single pulse transcranial magnetic stimulation-electroencephalogram reveals no electrophysiological abnormality in adults with high-functioning autism spectrum  …
"-38.1435006,144.3596982","Single pulse transcranial magnetic stimulation-electroencephalogram reveals no electrophysiological abnormality in adults with high-functioning autism spectrum  …, Research Review: Language problems in children with Attention‐Deficit Hyperactivity Disorder–a systematic meta‐analytic review"
"-40.3918863,175.6248325","Evolutionary, Not Revolutionary: Current Prospects for Diagnostic Neuroimaging"
"-5.820161499999999,-35.2019289",Symmetry of Resting-State Functional Connectivity in FMRI: High Correlation Across Hemispheres Exists with or without Callosal Connection
"1.281046,103.83437","Topographic organization of the cerebral cortex and brain cartography, Mode of anisotropy reveals global diffusion alterations in attention-deficit/hyperactivity disorder"
"1.2944054,103.7809717",Disrupted thalamic resting-state functional networks in schizophrenia
"1.29563,103.778434",Frequency dependent topological patterns of resting-state brain networks
"1.2966426,103.7763939","Hyper-connectivity of functional networks for brain disease diagnosis, Big data and the future, Topographic organization of the cerebral cortex and brain cartography, Disrupted thalamic resting-state functional networks in schizophrenia"
"1.2984587,103.7722614",Diagnosis of Autism Spectrum Disorders Using Temporally Distinct Resting‐State Functional Connectivity Networks
"1.3070956,103.7722851",The topology of large Open Connectome networks for the human brain
"1.345418,103.679045",Task-related functional connectivity dynamics in a block-designed visual experiment.
"1.3461952,103.6815499",Identifying differences in brain activities and an accurate detection of autism spectrum disorder using resting state functional-magnetic resonance imaging: A spatial  …
"10.7626391,106.6820268",Applications To Human Brain Functional Networks
"12.3132715,76.6134265",Identifying differences in brain activities and an accurate detection of autism spectrum disorder using resting state functional-magnetic resonance imaging: A spatial  …
"14.058324,108.277199",Applications To Human Brain Functional Networks
"19.2925727,-99.1522765","Imaging the striatum, Music reduces pain and increases resting state fMRI BOLD signal amplitude in the left angular gyrus in fibromyalgia patients"
