term	tfidf	tf	score
phonetics	5.08128085273e-07	6.83495417437e-08	3.47303217755e-14
metacognition	9.21503586242e-07	1.36699083487e-07	1.2596869567e-13
gestalt	9.21503586242e-07	1.36699083487e-07	1.2596869567e-13
grief	9.21503586242e-07	1.36699083487e-07	1.2596869567e-13
prejudice	1.01625617055e-06	1.36699083487e-07	1.38921287102e-13
intonation	1.29911531637e-06	2.05048625231e-07	2.66381809637e-13
instinct	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
proprioception	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
incubation	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
assimilation	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
dispositions	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
intentionality	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
chunking	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
imageability	1.73215375516e-06	2.73398166975e-07	4.73567661578e-13
gustation	1.84300717248e-06	2.73398166975e-07	5.03874782678e-13
imprinting	1.84300717248e-06	2.73398166975e-07	5.03874782678e-13
framing	2.31397287982e-06	4.10097250462e-07	9.48953915658e-13
lemma	2.38874244896e-06	4.10097250462e-07	9.79616710381e-13
metaphor	2.38874244896e-06	4.10097250462e-07	9.79616710381e-13
pronunciation	2.48025300581e-06	4.10097250462e-07	1.01714493813e-12
chunk	2.76451075873e-06	4.10097250462e-07	1.13371826103e-12
deception	3.08529717309e-06	5.46796333949e-07	1.68702918339e-12
frustration	3.08529717309e-06	5.46796333949e-07	1.68702918339e-12
orthography	3.08529717309e-06	5.46796333949e-07	1.68702918339e-12
grapheme	3.30700400775e-06	5.46796333949e-07	1.80825766779e-12
melody	3.85662146637e-06	6.83495417437e-07	2.63598309905e-12
irony	3.85662146637e-06	6.83495417437e-07	2.63598309905e-12
kinesthesia	3.98123741493e-06	6.83495417437e-07	2.72115752884e-12
humor	4.13375500969e-06	6.83495417437e-07	2.82540260593e-12
altruism	4.13375500969e-06	6.83495417437e-07	2.82540260593e-12
subconscious	3.93743671535e-06	7.5184495918e-07	2.96034194653e-12
wisdom	3.93743671535e-06	7.5184495918e-07	2.96034194653e-12
attitude	4.12638620142e-06	7.5184495918e-07	3.10240266517e-12
skepticism	4.12638620142e-06	7.5184495918e-07	3.10240266517e-12
somatosensation	4.05943025381e-06	8.20194500924e-07	3.32952237106e-12
metamemory	4.62794575964e-06	8.20194500924e-07	3.79581566263e-12
connotation	4.75798971462e-06	8.88544042668e-07	4.227683416e-12
dream	4.87663823804e-06	8.88544042668e-07	4.33310785466e-12
regret	5.12398892343e-06	9.56893584411e-07	4.90311212743e-12
prosody	4.84551142514e-06	1.02524312615e-06	4.96782728133e-12
alveolar	5.26121174012e-06	1.02524312615e-06	5.3940211718e-12
audition	5.34614727626e-06	1.16194220964e-06	6.21191417926e-12
reconsolidation	6.00201629298e-06	1.0935926679e-06	6.56376101061e-12
conversation	6.08914538072e-06	1.23029175139e-06	7.49142533489e-12
automaticity	5.90087750289e-06	1.29864129313e-06	7.66312319095e-12
constancy	6.80102705378e-06	1.29864129313e-06	8.83209456773e-12
olfaction	7.10400294417e-06	1.43534037662e-06	1.01966622614e-11
lexicon	7.22889388679e-06	1.43534037662e-06	1.0375923274e-11
prototype	7.21049397549e-06	1.50368991836e-06	1.08423470973e-11
surprise	7.9922830384e-06	1.91378716882e-06	1.52955287285e-11
egocentric	8.72192056524e-06	1.84543762708e-06	1.60957603915e-11
desire	8.20291522878e-06	1.98213671057e-06	1.62592994086e-11
unisensory	9.92101202325e-06	1.64038900185e-06	1.62743190101e-11
misattribution	8.98600424657e-06	1.84543762708e-06	1.65831103537e-11
attachment	9.20631091065e-06	2.05048625231e-06	1.88774139568e-11
habit	8.93170132913e-06	2.11883579405e-06	1.89248084779e-11
conceptualization	8.95113860891e-06	2.25553487754e-06	2.01896053261e-11
analogy	9.17317362648e-06	2.25553487754e-06	2.06904130523e-11
parsing	9.33435181206e-06	2.25553487754e-06	2.10539560713e-11
happiness	9.60001555696e-06	2.25553487754e-06	2.16531699137e-11
crossmodal	1.08700375053e-05	2.39223396103e-06	2.60036728779e-11
nociception	1.17989901417e-05	2.46058350277e-06	2.90324004921e-11
syntax	1.25165766159e-05	2.52893304452e-06	3.16535842082e-11
acuity	1.12183242945e-05	2.87068075323e-06	3.22042276357e-11
belief	1.24046011286e-05	3.07572937846e-06	3.81531961192e-11
discourse	1.46759004845e-05	2.80233121149e-06	4.11267339844e-11
forgetting	1.45969075072e-05	3.21242846195e-06	4.68915211325e-11
articulation	1.55286250076e-05	3.41747708718e-06	5.3068720159e-11
logic	1.38848891174e-05	3.82757433765e-06	5.31454452667e-11
cueing	1.5601891335e-05	3.55417617067e-06	5.54518704002e-11
inattention	2.08859900874e-05	5.26291471426e-06	1.09921184553e-10
imagination	2.23458725198e-05	5.39961379775e-06	1.20659081581e-10
crosstalk	2.33376712148e-05	5.53631288124e-06	1.29204649765e-10
rehearsal	2.19814269317e-05	5.9464101317e-06	1.30710579816e-10
introspection	2.15450644554e-05	6.15145875693e-06	1.32533575413e-10
categorization	2.39702711835e-05	6.76660463262e-06	1.62197348036e-10
updating	2.45465004039e-05	6.76660463262e-06	1.66096463348e-10
intention	2.44004878812e-05	7.92854684226e-06	1.9346041114e-10
hallucination	2.8631420713e-05	7.0400027996e-06	2.01565281976e-10
expertise	2.67094518594e-05	8.27029455098e-06	2.20895034172e-10
retention	2.86480147396e-05	8.27029455098e-06	2.36927520197e-10
generalization	2.92647423255e-05	9.22718813539e-06	2.70031283171e-10
narrative	3.18388174731e-05	9.09048905191e-06	2.89430421664e-10
resource	2.89940102492e-05	1.03207808033e-05	2.9924082439e-10
lying	3.24795826414e-05	1.29180633896e-05	4.19573307428e-10
gaze	3.99394563095e-05	1.1209324846e-05	4.47694339945e-10
sadness	3.9756418761e-05	1.14143734712e-05	4.53794611616e-10
morphology	3.51085024007e-05	1.3054762473e-05	4.58333159625e-10
distraction	3.82965503247e-05	1.22345679721e-05	4.68541748045e-10
remembering	3.81705412025e-05	1.33965101818e-05	5.11352043863e-10
