term	tfidf	tf	score
diffusion_kurtosis_imaging	2.76451075873e-06	4.10097250462e-07	1.13371826103e-12
magnetic_source_imaging	1.32441053153e-05	2.52893304452e-06	3.34934555768e-11
radial_diffusivity	2.57943559286e-05	6.28815784042e-06	1.62198981471e-10
mean_diffusivity	2.51359085314e-05	7.17670188308e-06	1.8039292209e-10
standardized_low_resolution_electromagnetic_tomography	4.15599450106e-05	9.56893584411e-06	3.97684447492e-10
diffusion_weighted_imaging	4.28491381022e-05	1.38066074322e-05	5.91601228587e-10
event_related_potential	4.7779066625e-05	1.73607836029e-05	8.29482036424e-10
apparent_diffusion_coefficient	7.26948004757e-05	1.75658322281e-05	1.27694466901e-09
7_tesla	8.49077591641e-05	2.78182634897e-05	2.36198641674e-09
computed_tomography	7.37490225891e-05	3.67037039163e-05	2.70686228923e-09
single_photon_emission_computed_tomography	9.41753401691e-05	4.10780745879e-05	3.86854164781e-09
3_tesla	7.4307194354e-05	7.8123526213e-05	5.80514004593e-09
susceptibility_weighted_imaging	7.08829493606e-05	8.26345959681e-05	5.85738388144e-09
magnetic_resonance	9.6066138246e-05	8.42066354282e-05	8.08940628028e-09
tractography	0.000133709382846	7.01949793707e-05	9.38572737053e-09
granger_causality	0.000162406643457	6.66408032001e-05	1.0822909165e-08
t2_weighted	0.0001091331736	0.000114553831962	1.25016232301e-08
t1_weighted	9.10294108113e-05	0.000165269191936	1.50443571672e-08
magnetoencephalography	0.000221595048462	0.000120705290719	2.67476947466e-08
functional_near_infrared_spectroscopy	0.000316940252315	8.94695501425e-05	2.83565017967e-08
proton_density	0.000246527228819	0.000127266846727	3.13747430441e-08
glucose_metabolism	0.000190502576375	0.000167798124981	3.19659751197e-08
fractional_anisotropy	0.000227491912775	0.000155768605634	3.54360980459e-08
diffusion_tensor_imaging	0.00026859275191	0.000192677358175	5.17517418631e-08
positron_emission_tomography	0.000186218658987	0.000301558178173	5.61557595458e-08
resting_state_network	0.000641522844318	0.000307367889221	1.97183522545e-07
cerebral_blood_flow	0.000474167621894	0.000486648737215	2.30753074423e-07
BOLD	0.000235633760103	0.00151407904871	3.56768139339e-07
electroencephalogram	0.000612878807982	0.000700719501956	4.29456133088e-07
resting_state	0.000181488832726	0.0024686487487	4.48032179811e-07
connectivity	0.000387618575003	0.00195137941678	7.56390908822e-07
fMRI	0.000207570601798	0.00458099133629	9.50879128503e-07
functional_connectivity	0.000424460920124	0.00241383241622	1.02457752841e-06
DMN	0.000673552338711	0.00174161467317	1.17306863625e-06
