fcon_1000.projects.nitrc.org,1000 functional connectomes project
oif,veterans
operation iraqi freedom,veterans
oef,veterans
ond,veterans
veteran,veterans
vfw,veterans
marine,veterans
marines,veterans
http://dx.doi.org/10.1101/027516,mixed effects models for resampled network statistics improves statistical power to find differences in multi-subject functional connectivity
http://biorxiv.org/content/early/2016/03/28/027516,mixed effects models for resampled network statistics improves statistical power to find differences in multi-subject functional connectivity
http://dx.doi.org/10.1101/034454,unsupervised data-driven stratification of mentalizing heterogeneity in autism
http://biorxiv.org/content/early/2016/04/29/034454,unsupervised data-driven stratification of mentalizing heterogeneity in autism
dmn,default mode network
http://dx.doi.org/10.1101/035790,assessing variations in areal organization for the intrinsic brain: from fingerprints to reliability
http://biorxiv.org/content/early/2016/05/16/035790,assessing variations in areal organization for the intrinsic brain: from fingerprints to reliability
thalamic,thalamus
wmh,white matter hyperintensities
white matter hyperintensity,white matter hyperintensities
https://dx.doi.org/10.7287/peerj.preprints.1317v1,retrieving the hemodynamic response function in resting state fmri: methodology and applications
https://peerj.com/preprints/1317v1/,retrieving the hemodynamic response function in resting state fmri: methodology and applications
functional magnetic resonance imaging,frmi
functional mri,fmri
hrf,hemodynamic response function
autism spectrum disorder,asd
autism,asd
autistic,asd
twin, twins
dx, diagnosis
voxel, neuroimaging
voxels, neuroimaging
4d, neuroimaging
signal, neuroimaging
noise, neuroimaging
fmrisim, neuroimaging
1000 functional connectomes project, indi
rockland sample, indi
international neuroimaging data-sharing initiative, indi
autism brain imaging data exchange, indi
adhd-200, indi
consortium for reproducibility and reliability, indi
fcp, indi
slice time correction, fmri
