term	tfidf	tf	score	x	y	clazz
phonetics	5.08128085273e-07	6.83495417437e-08	6.83495417437e-08	6.83495417437e-08	3.05081280853e-05	Cognitive Atlas
metacognition	9.21503586242e-07	1.36699083487e-07	1.36699083487e-07	1.36699083487e-07	3.09215035862e-05	Cognitive Atlas
presubiculum	9.21503586242e-07	1.36699083487e-07	1.36699083487e-07	1.36699083487e-07	3.09215035862e-05	PubBrain
prejudice	1.01625617055e-06	1.36699083487e-07	1.36699083487e-07	1.36699083487e-07	3.10162561705e-05	Cognitive Atlas
gestalt	9.21503586242e-07	1.36699083487e-07	1.36699083487e-07	1.36699083487e-07	3.09215035862e-05	Cognitive Atlas
grief	9.21503586242e-07	1.36699083487e-07	1.36699083487e-07	1.36699083487e-07	3.09215035862e-05	Cognitive Atlas
intonation	1.29911531637e-06	2.05048625231e-07	2.05048625231e-07	2.05048625231e-07	3.12991153164e-05	Cognitive Atlas
dispositions	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
gustation	1.84300717248e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.18430071725e-05	Cognitive Atlas
instinct	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
proprioception	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
incubation	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
imageability	1.73215375516e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.17321537552e-05	Cognitive Atlas
imprinting	1.84300717248e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.18430071725e-05	Cognitive Atlas
diencephalon	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	PubBrain
intentionality	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
chunking	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
assimilation	1.65350200388e-06	2.73398166975e-07	2.73398166975e-07	2.73398166975e-07	3.16535020039e-05	Cognitive Atlas
subthalamus	2.16519219394e-06	3.41747708718e-07	3.41747708718e-07	3.41747708718e-07	3.21651921939e-05	PubBrain
lemma	2.38874244896e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.2388742449e-05	Cognitive Atlas
framing	2.31397287982e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.23139728798e-05	Cognitive Atlas
chunk	2.76451075873e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.27645107587e-05	Cognitive Atlas
diffusion_kurtosis_imaging	2.76451075873e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.27645107587e-05	Imaging
metaphor	2.38874244896e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.2388742449e-05	Cognitive Atlas
pronunciation	2.48025300581e-06	4.10097250462e-07	4.10097250462e-07	4.10097250462e-07	3.24802530058e-05	Cognitive Atlas
telencephalon	3.08529717309e-06	5.46796333949e-07	5.46796333949e-07	5.46796333949e-07	3.30852971731e-05	PubBrain
deception	3.08529717309e-06	5.46796333949e-07	5.46796333949e-07	5.46796333949e-07	3.30852971731e-05	Cognitive Atlas
grapheme	3.30700400775e-06	5.46796333949e-07	5.46796333949e-07	5.46796333949e-07	3.33070040078e-05	Cognitive Atlas
frustration	3.08529717309e-06	5.46796333949e-07	5.46796333949e-07	5.46796333949e-07	3.30852971731e-05	Cognitive Atlas
orthography	3.08529717309e-06	5.46796333949e-07	5.46796333949e-07	5.46796333949e-07	3.30852971731e-05	Cognitive Atlas
melody	3.85662146637e-06	6.83495417437e-07	6.83495417437e-07	6.83495417437e-07	3.38566214664e-05	Cognitive Atlas
humor	4.13375500969e-06	6.83495417437e-07	6.83495417437e-07	6.83495417437e-07	3.41337550097e-05	Cognitive Atlas
irony	3.85662146637e-06	6.83495417437e-07	6.83495417437e-07	6.83495417437e-07	3.38566214664e-05	Cognitive Atlas
altruism	4.13375500969e-06	6.83495417437e-07	6.83495417437e-07	6.83495417437e-07	3.41337550097e-05	Cognitive Atlas
kinesthesia	3.98123741493e-06	6.83495417437e-07	6.83495417437e-07	6.83495417437e-07	3.39812374149e-05	Cognitive Atlas
attitude	4.12638620142e-06	7.5184495918e-07	7.5184495918e-07	7.5184495918e-07	3.41263862014e-05	Cognitive Atlas
subconscious	3.93743671535e-06	7.5184495918e-07	7.5184495918e-07	7.5184495918e-07	3.39374367153e-05	Cognitive Atlas
skepticism	4.12638620142e-06	7.5184495918e-07	7.5184495918e-07	7.5184495918e-07	3.41263862014e-05	Cognitive Atlas
wisdom	3.93743671535e-06	7.5184495918e-07	7.5184495918e-07	7.5184495918e-07	3.39374367153e-05	Cognitive Atlas
metamemory	4.62794575964e-06	8.20194500924e-07	8.20194500924e-07	8.20194500924e-07	3.46279457596e-05	Cognitive Atlas
somatosensation	4.05943025381e-06	8.20194500924e-07	8.20194500924e-07	8.20194500924e-07	3.40594302538e-05	Cognitive Atlas
tectum	4.62794575964e-06	8.20194500924e-07	8.20194500924e-07	8.20194500924e-07	3.46279457596e-05	PubBrain
connotation	4.75798971462e-06	8.88544042668e-07	8.88544042668e-07	8.88544042668e-07	3.47579897146e-05	Cognitive Atlas
dream	4.87663823804e-06	8.88544042668e-07	8.88544042668e-07	8.88544042668e-07	3.4876638238e-05	Cognitive Atlas
regret	5.12398892343e-06	9.56893584411e-07	9.56893584411e-07	9.56893584411e-07	3.51239889234e-05	Cognitive Atlas
epithalamus	5.78725701356e-06	9.56893584411e-07	9.56893584411e-07	9.56893584411e-07	3.57872570136e-05	PubBrain
alveolar	5.26121174012e-06	1.02524312615e-06	1.02524312615e-06	1.02524312615e-06	3.52612117401e-05	Cognitive Atlas
prosody	4.84551142514e-06	1.02524312615e-06	1.02524312615e-06	1.02524312615e-06	3.48455114251e-05	Cognitive Atlas
reconsolidation	6.00201629298e-06	1.0935926679e-06	1.0935926679e-06	1.0935926679e-06	3.6002016293e-05	Cognitive Atlas
audition	5.34614727626e-06	1.16194220964e-06	1.16194220964e-06	1.16194220964e-06	3.53461472763e-05	Cognitive Atlas
conversation	6.08914538072e-06	1.23029175139e-06	1.23029175139e-06	1.23029175139e-06	3.60891453807e-05	Cognitive Atlas
automaticity	5.90087750289e-06	1.29864129313e-06	1.29864129313e-06	1.29864129313e-06	3.59008775029e-05	Cognitive Atlas
constancy	6.80102705378e-06	1.29864129313e-06	1.29864129313e-06	1.29864129313e-06	3.68010270538e-05	Cognitive Atlas
mesencephalon	7.31998417633e-06	1.36699083487e-06	1.36699083487e-06	1.36699083487e-06	3.73199841763e-05	PubBrain
lexicon	7.22889388679e-06	1.43534037662e-06	1.43534037662e-06	1.43534037662e-06	3.72288938868e-05	Cognitive Atlas
olfaction	7.10400294417e-06	1.43534037662e-06	1.43534037662e-06	1.43534037662e-06	3.71040029442e-05	Cognitive Atlas
prototype	7.21049397549e-06	1.50368991836e-06	1.50368991836e-06	1.50368991836e-06	3.72104939755e-05	Cognitive Atlas
unisensory	9.92101202325e-06	1.64038900185e-06	1.64038900185e-06	1.64038900185e-06	3.99210120233e-05	Cognitive Atlas
egocentric	8.72192056524e-06	1.84543762708e-06	1.84543762708e-06	1.84543762708e-06	3.87219205652e-05	Cognitive Atlas
misattribution	8.98600424657e-06	1.84543762708e-06	1.84543762708e-06	1.84543762708e-06	3.89860042466e-05	Cognitive Atlas
surprise	7.9922830384e-06	1.91378716882e-06	1.91378716882e-06	1.91378716882e-06	3.79922830384e-05	Cognitive Atlas
desire	8.20291522878e-06	1.98213671057e-06	1.98213671057e-06	1.98213671057e-06	3.82029152288e-05	Cognitive Atlas
attachment	9.20631091065e-06	2.05048625231e-06	2.05048625231e-06	2.05048625231e-06	3.92063109107e-05	Cognitive Atlas
habit	8.93170132913e-06	2.11883579405e-06	2.11883579405e-06	2.11883579405e-06	3.89317013291e-05	Cognitive Atlas
happiness	9.60001555696e-06	2.25553487754e-06	2.25553487754e-06	2.25553487754e-06	3.9600015557e-05	Cognitive Atlas
parsing	9.33435181206e-06	2.25553487754e-06	2.25553487754e-06	2.25553487754e-06	3.93343518121e-05	Cognitive Atlas
conceptualization	8.95113860891e-06	2.25553487754e-06	2.25553487754e-06	2.25553487754e-06	3.89511386089e-05	Cognitive Atlas
analogy	9.17317362648e-06	2.25553487754e-06	2.25553487754e-06	2.25553487754e-06	3.91731736265e-05	Cognitive Atlas
crossmodal	1.08700375053e-05	2.39223396103e-06	2.39223396103e-06	2.39223396103e-06	4.08700375053e-05	Cognitive Atlas
nociception	1.17989901417e-05	2.46058350277e-06	2.46058350277e-06	2.46058350277e-06	4.17989901417e-05	Cognitive Atlas
syntax	1.25165766159e-05	2.52893304452e-06	2.52893304452e-06	2.52893304452e-06	4.25165766159e-05	Cognitive Atlas
magnetic_source_imaging	1.32441053153e-05	2.52893304452e-06	2.52893304452e-06	2.52893304452e-06	4.32441053153e-05	Imaging
discourse	1.46759004845e-05	2.80233121149e-06	2.80233121149e-06	2.80233121149e-06	4.46759004845e-05	Cognitive Atlas
acuity	1.12183242945e-05	2.87068075323e-06	2.87068075323e-06	2.87068075323e-06	4.12183242945e-05	Cognitive Atlas
belief	1.24046011286e-05	3.07572937846e-06	3.07572937846e-06	3.07572937846e-06	4.24046011286e-05	Cognitive Atlas
forgetting	1.45969075072e-05	3.21242846195e-06	3.21242846195e-06	3.21242846195e-06	4.45969075072e-05	Cognitive Atlas
articulation	1.55286250076e-05	3.41747708718e-06	3.41747708718e-06	3.41747708718e-06	4.55286250076e-05	Cognitive Atlas
cueing	1.5601891335e-05	3.55417617067e-06	3.55417617067e-06	3.55417617067e-06	4.5601891335e-05	Cognitive Atlas
logic	1.38848891174e-05	3.82757433765e-06	3.82757433765e-06	3.82757433765e-06	4.38848891174e-05	Cognitive Atlas
subiculum	2.1959952529e-05	4.10097250462e-06	4.10097250462e-06	4.10097250462e-06	5.1959952529e-05	PubBrain
inattention	2.08859900874e-05	5.26291471426e-06	5.26291471426e-06	5.26291471426e-06	5.08859900874e-05	Cognitive Atlas
imagination	2.23458725198e-05	5.39961379775e-06	5.39961379775e-06	5.39961379775e-06	5.23458725198e-05	Cognitive Atlas
crosstalk	2.33376712148e-05	5.53631288124e-06	5.53631288124e-06	5.53631288124e-06	5.33376712148e-05	Cognitive Atlas
rehearsal	2.19814269317e-05	5.9464101317e-06	5.9464101317e-06	5.9464101317e-06	5.19814269317e-05	Cognitive Atlas
introspection	2.15450644554e-05	6.15145875693e-06	6.15145875693e-06	6.15145875693e-06	5.15450644554e-05	Cognitive Atlas
habenula	3.22687653394e-05	6.28815784042e-06	6.28815784042e-06	6.28815784042e-06	6.22687653394e-05	PubBrain
radial_diffusivity	2.57943559286e-05	6.28815784042e-06	6.28815784042e-06	6.28815784042e-06	5.57943559286e-05	Imaging
claustrum	2.33962565379e-05	6.28815784042e-06	6.28815784042e-06	6.28815784042e-06	5.33962565379e-05	PubBrain
categorization	2.39702711835e-05	6.76660463262e-06	6.76660463262e-06	6.76660463262e-06	5.39702711835e-05	Cognitive Atlas
updating	2.45465004039e-05	6.76660463262e-06	6.76660463262e-06	6.76660463262e-06	5.45465004039e-05	Cognitive Atlas
pulvinar	2.49871706272e-05	6.97165325785e-06	6.97165325785e-06	6.97165325785e-06	5.49871706272e-05	PubBrain
hallucination	2.8631420713e-05	7.0400027996e-06	7.0400027996e-06	7.0400027996e-06	5.8631420713e-05	Cognitive Atlas
mean_diffusivity	2.51359085314e-05	7.17670188308e-06	7.17670188308e-06	7.17670188308e-06	5.51359085314e-05	Imaging
intention	2.44004878812e-05	7.92854684226e-06	7.92854684226e-06	7.92854684226e-06	5.44004878812e-05	Cognitive Atlas
expertise	2.67094518594e-05	8.27029455098e-06	8.27029455098e-06	8.27029455098e-06	5.67094518594e-05	Cognitive Atlas
retention	2.86480147396e-05	8.27029455098e-06	8.27029455098e-06	8.27029455098e-06	5.86480147396e-05	Cognitive Atlas
narrative	3.18388174731e-05	9.09048905191e-06	9.09048905191e-06	9.09048905191e-06	6.18388174731e-05	Cognitive Atlas
generalization	2.92647423255e-05	9.22718813539e-06	9.22718813539e-06	9.22718813539e-06	5.92647423255e-05	Cognitive Atlas
standardized_low_resolution_electromagnetic_tomography	4.15599450106e-05	9.56893584411e-06	9.56893584411e-06	9.56893584411e-06	7.15599450106e-05	Imaging
resource	2.89940102492e-05	1.03207808033e-05	1.03207808033e-05	1.03207808033e-05	5.89940102492e-05	Cognitive Atlas
forebrain	3.18933752252e-05	1.10726257625e-05	1.10726257625e-05	1.10726257625e-05	6.18933752252e-05	PubBrain
gaze	3.99394563095e-05	1.1209324846e-05	1.1209324846e-05	1.1209324846e-05	6.99394563095e-05	Cognitive Atlas
sadness	3.9756418761e-05	1.14143734712e-05	1.14143734712e-05	1.14143734712e-05	6.9756418761e-05	Cognitive Atlas
distraction	3.82965503247e-05	1.22345679721e-05	1.22345679721e-05	1.22345679721e-05	6.82965503247e-05	Cognitive Atlas
expectancy	4.63350705717e-05	1.23712670556e-05	1.23712670556e-05	1.23712670556e-05	7.63350705717e-05	Cognitive Atlas
lying	3.24795826414e-05	1.29180633896e-05	1.29180633896e-05	1.29180633896e-05	6.24795826414e-05	Cognitive Atlas
morphology	3.51085024007e-05	1.3054762473e-05	1.3054762473e-05	1.3054762473e-05	6.51085024007e-05	Cognitive Atlas
remembering	3.81705412025e-05	1.33965101818e-05	1.33965101818e-05	1.33965101818e-05	6.81705412025e-05	Cognitive Atlas
diffusion_weighted_imaging	4.28491381022e-05	1.38066074322e-05	1.38066074322e-05	1.38066074322e-05	7.28491381022e-05	Imaging
pons	4.47582581167e-05	1.44217533079e-05	1.44217533079e-05	1.44217533079e-05	7.47582581167e-05	PubBrain
schema	6.25219093039e-05	1.48318505584e-05	1.48318505584e-05	1.48318505584e-05	9.25219093039e-05	Cognitive Atlas
excitation	3.84757007653e-05	1.49002001001e-05	1.49002001001e-05	1.49002001001e-05	6.84757007653e-05	Cognitive Atlas
reasoning	4.05565158909e-05	1.61304918515e-05	1.61304918515e-05	1.61304918515e-05	7.05565158909e-05	Cognitive Atlas
anticipation	5.07437435622e-05	1.72924340611e-05	1.72924340611e-05	1.72924340611e-05	8.07437435622e-05	Cognitive Atlas
naming	4.89218037926e-05	1.72924340611e-05	1.72924340611e-05	1.72924340611e-05	7.89218037926e-05	Cognitive Atlas
event_related_potential	4.7779066625e-05	1.73607836029e-05	1.73607836029e-05	1.73607836029e-05	7.7779066625e-05	Imaging
apparent_diffusion_coefficient	7.26948004757e-05	1.75658322281e-05	1.75658322281e-05	1.75658322281e-05	0.000102694800476	Imaging
valence	5.25472957805e-05	1.77025313116e-05	1.77025313116e-05	1.77025313116e-05	8.25472957805e-05	Cognitive Atlas
adaptation	4.56447227177e-05	2.01631148144e-05	2.01631148144e-05	2.01631148144e-05	7.56447227177e-05	Cognitive Atlas
routine	4.76928877431e-05	2.01631148144e-05	2.01631148144e-05	2.01631148144e-05	7.76928877431e-05	Cognitive Atlas
uncertainty	4.89516135472e-05	2.09149597736e-05	2.09149597736e-05	2.09149597736e-05	7.89516135472e-05	Cognitive Atlas
familiarity	7.01853479193e-05	2.15301056493e-05	2.15301056493e-05	2.15301056493e-05	0.000100185347919	Cognitive Atlas
competition	5.27627697814e-05	2.15301056493e-05	2.15301056493e-05	2.15301056493e-05	8.27627697814e-05	Cognitive Atlas
consolidation	6.17822949869e-05	2.21452515249e-05	2.21452515249e-05	2.21452515249e-05	9.17822949869e-05	Cognitive Atlas
induction	6.06373918701e-05	2.46741845695e-05	2.46741845695e-05	2.46741845695e-05	9.06373918701e-05	Cognitive Atlas
rule	4.56071807883e-05	2.47425341112e-05	2.47425341112e-05	2.47425341112e-05	7.56071807883e-05	Cognitive Atlas
skill	7.21857679143e-05	2.51526313617e-05	2.51526313617e-05	2.51526313617e-05	0.000102185767914	Cognitive Atlas
judgment	6.88653352395e-05	2.53576799869e-05	2.53576799869e-05	2.53576799869e-05	9.88653352395e-05	Cognitive Atlas
multisensory	9.1374653372e-05	2.54943790704e-05	2.54943790704e-05	2.54943790704e-05	0.000121374653372	Cognitive Atlas
utility	5.19327282005e-05	2.55627286121e-05	2.55627286121e-05	2.55627286121e-05	8.19327282005e-05	Cognitive Atlas
effort	4.93709107832e-05	2.59728258626e-05	2.59728258626e-05	2.59728258626e-05	7.93709107832e-05	Cognitive Atlas
hypothalamus	6.99494651053e-05	2.61778744878e-05	2.61778744878e-05	2.61778744878e-05	9.99494651053e-05	PubBrain
navigation	5.88256758606e-05	2.62462240296e-05	2.62462240296e-05	2.62462240296e-05	8.88256758606e-05	Cognitive Atlas
meaning	5.03056843487e-05	2.65196221965e-05	2.65196221965e-05	2.65196221965e-05	8.03056843487e-05	Cognitive Atlas
7_tesla	8.49077591641e-05	2.78182634897e-05	2.78182634897e-05	2.78182634897e-05	0.000114907759164	Imaging
empathy	9.38032745207e-05	2.87751570741e-05	2.87751570741e-05	2.87751570741e-05	0.000123803274521	Cognitive Atlas
listening	9.23135621713e-05	3.15774882856e-05	3.15774882856e-05	3.15774882856e-05	0.000122313562171	Cognitive Atlas
insight	5.5613498276e-05	3.36963240796e-05	3.36963240796e-05	3.36963240796e-05	8.5613498276e-05	Cognitive Atlas
cuneus	7.41018944162e-05	3.57468103319e-05	3.57468103319e-05	3.57468103319e-05	0.000104101894416	PubBrain
computed_tomography	7.37490225891e-05	3.67037039163e-05	3.67037039163e-05	3.67037039163e-05	0.000103749022589	Imaging
coordination	7.29953053975e-05	3.70454516251e-05	3.70454516251e-05	3.70454516251e-05	0.000102995305398	Cognitive Atlas
single_photon_emission_computed_tomography	9.41753401691e-05	4.10780745879e-05	4.10780745879e-05	4.10780745879e-05	0.000124175340169	Imaging
manipulation	7.60374391035e-05	4.21716672558e-05	4.21716672558e-05	4.21716672558e-05	0.000106037439103	Cognitive Atlas
fear	0.000110680182585	4.29918617568e-05	4.29918617568e-05	4.29918617568e-05	0.000140680182585	Cognitive Atlas
priming	0.000144370384438	4.44955516751e-05	4.44955516751e-05	4.44955516751e-05	0.000174370384438	Cognitive Atlas
