removed	type	count
0	Largest Component Size	4251
0	Total Components	246
50	Largest Component Size	4051
50	Total Components	319
100	Largest Component Size	3737
100	Total Components	396
150	Largest Component Size	3504
150	Total Components	479
200	Largest Component Size	3034
200	Total Components	581
250	Largest Component Size	2774
250	Total Components	674
300	Largest Component Size	2291
300	Total Components	767
350	Largest Component Size	1458
350	Total Components	854
400	Largest Component Size	994
400	Total Components	950
450	Largest Component Size	411
450	Total Components	1036
500	Largest Component Size	350
500	Total Components	1127
550	Largest Component Size	329
550	Total Components	1216
600	Largest Component Size	257
600	Total Components	1295
650	Largest Component Size	223
650	Total Components	1380
700	Largest Component Size	110
700	Total Components	1460
750	Largest Component Size	97
750	Total Components	1542
800	Largest Component Size	81
800	Total Components	1628
850	Largest Component Size	75
850	Total Components	1723
900	Largest Component Size	58
900	Total Components	1811
950	Largest Component Size	57
950	Total Components	1877
1000	Largest Component Size	54
1000	Total Components	1941
