removed	type	count
0	Largest Component Size	4251
0	Total Components	246
50	Largest Component Size	3828
50	Total Components	585
100	Largest Component Size	3549
100	Total Components	834
150	Largest Component Size	3297
150	Total Components	1070
200	Largest Component Size	3008
200	Total Components	1307
250	Largest Component Size	2756
250	Total Components	1522
300	Largest Component Size	2573
300	Total Components	1723
350	Largest Component Size	2382
350	Total Components	1908
400	Largest Component Size	2217
400	Total Components	2129
450	Largest Component Size	2029
450	Total Components	2312
500	Largest Component Size	1872
500	Total Components	2495
550	Largest Component Size	1692
550	Total Components	2675
600	Largest Component Size	1484
600	Total Components	2884
650	Largest Component Size	1371
650	Total Components	3050
700	Largest Component Size	1146
700	Total Components	3222
750	Largest Component Size	860
750	Total Components	3393
800	Largest Component Size	779
800	Total Components	3575
850	Largest Component Size	540
850	Total Components	3721
900	Largest Component Size	445
900	Total Components	3891
950	Largest Component Size	338
950	Total Components	4073
1000	Largest Component Size	222
1000	Total Components	4242
1050	Largest Component Size	196
1050	Total Components	4393
1100	Largest Component Size	143
1100	Total Components	4558
1150	Largest Component Size	121
1150	Total Components	4711
1200	Largest Component Size	45
1200	Total Components	4847
1250	Largest Component Size	24
1250	Total Components	4960
1300	Largest Component Size	15
1300	Total Components	5077
1350	Largest Component Size	13
1350	Total Components	5204
1400	Largest Component Size	10
1400	Total Components	5302
1450	Largest Component Size	10
1450	Total Components	5387
1500	Largest Component Size	7
1500	Total Components	5476
1550	Largest Component Size	5
1550	Total Components	5558
1600	Largest Component Size	4
1600	Total Components	5600
1650	Largest Component Size	3
1650	Total Components	5645
1700	Largest Component Size	1
1700	Total Components	5660
