year	metric	count
1995	DF	0
1995	TF	0
1995	TF*IDF	0
1996	DF	0
1996	TF	0
1996	TF*IDF	0
1997	DF	0
1997	TF	0
1997	TF*IDF	0
1998	DF	0
1998	TF	0
1998	TF*IDF	0
1999	DF	0
1999	TF	0
1999	TF*IDF	0
2000	DF	0
2000	TF	0
2000	TF*IDF	0
2001	DF	0
2001	TF	0
2001	TF*IDF	0
2002	DF	0
2002	TF	0
2002	TF*IDF	0
2003	DF	0
2003	TF	0
2003	TF*IDF	0
2004	DF	0
2004	TF	0
2004	TF*IDF	0
2005	DF	0
2005	TF	0
2005	TF*IDF	0
2006	DF	0
2006	TF	0
2006	TF*IDF	0
2007	DF	2
2007	TF	4
2007	TF*IDF	5.77078016356
2008	DF	4
2008	TF	11
2008	TF*IDF	7.93482272489
2009	DF	4
2009	TF	9
2009	TF*IDF	6.492127684
2010	DF	34
2010	TF	111
2010	TF*IDF	31.4772126177
2011	DF	52
2011	TF	258
2011	TF*IDF	65.2958962735
2012	DF	80
2012	TF	417
2012	TF*IDF	95.1614480616
