title	citation_count
	0
Default-mode network activity distinguishes amnestic type mild cognitive impairment from healthy aging: a combined structural and resting-state functional MRI study.	14
Detection of PCC functional connectivity characteristics in resting-state fMRI in mild Alzheimer's disease.	16
Using a self-organizing map algorithm to detect age-related changes in functional connectivity during rest in autism spectrum disorders.	23
Learning sculpts the spontaneous activity of the resting human brain.	16
Functional connectivity of default mode network components: correlation, anticorrelation, and causality.	28
Brain connectivity is not only lower but different in schizophrenia: a combined anatomical and functional approach.	14
Localization of cerebral functional deficits in patients with non-neuropsychiatric systemic lupus erythematosus.	11
Microstructural organization of the cingulum tract and the level of default mode functional connectivity.	21
Static and dynamic characteristics of cerebral blood flow during the resting state.	32
The discovery of population differences in network community structure: New methods and applications to brain functional networks in schizophrenia.	11
Regional coherence changes in the early stages of Alzheimer's disease: a combined structural and resting-state functional MRI study.	17
Task-driven ICA feature generation for accurate and interpretable prediction using fMRI.	13
Aberrant temporal and spatial brain activity during rest in patients with chronic pain.	17
Resting-state functional connectivity in treatment-resistant depression.	10
A genetically modulated, intrinsic cingulate circuit supports human nicotine addiction.	7
Evidence of a dissociation pattern in resting-state default mode network connectivity in first-episode, treatment-naive major depression patients.	22
Functional connectivity of cortical motor areas in the resting state in Parkinson's disease.	18
Automated approaches for analysis of multimodal MRI acquisitions in a study of cognitive aging.	11
Changes of brain structure and function in ADHD children.	10
To act or not to act. Neural correlates of executive control of learned motor behavior.	0
Real versus imagined locomotion: a [18F]-FDG PET-fMRI comparison.	0
Estimation of the intrinsic dimensionality of fMRI data.	1
Mapping the altered patterns of cerebellar resting-state function in longitudinal amnestic mild cognitive impairment patients.	13
Functional alterations of large-scale brain networks related to cognitive control in obsessive-compulsive disorder.	17
The Putative Visual Word Form Area Is Functionally Connected to the Dorsal Attention Network.	13
Altered default mode network connectivity in alzheimer's disease-A resting functional MRI and bayesian network study.	0
Are brain networks stable during a 24-hour period?	27
Default mode network disruption secondary to a lesion in the anterior thalamus.	8
Driving and driven architectures of directed small-world human brain functional networks.	25
Typical and atypical development of functional human brain networks: insights from resting-state FMRI.	60
Normalized cut group clustering of resting-state fMRI data.	34
Experience-dependent alterations in conscious resting state activity following perceptuomotor learning.	2
Abnormal resting-state functional connectivity patterns of the putamen in medication-na\"{\i}ve children with attention deficit hyperactivity disorder.	16
Role of local network oscillations in resting-state functional connectivity.	13
Identifying the default-mode component in spatial IC analyses of patients with disorders of consciousness.	32
Impairments in cognition and resting-state connectivity of the hippocampus in elderly subjects with type 2 diabetes.	7
Integrated local correlation: a new measure of local coherence in fMRI data.	11
Functional network organization of the human brain.	25
Regional homogeneity in depression and its relationship with separate depressive symptom clusters: a resting-state fMRI study.	6
Simulation of the effects of global normalization procedures in functional MRI.	0
Resting-state functional network correlates of psychotic symptoms in schizophrenia.	16
Effects of heartbeat and respiration on macaque fMRI: implications for functional connectivity.	13
Functional connectivity and coactivation of the nucleus accumbens: A combined functional connectivity and structure-based meta-analysis.	19
Reduced resting-state brain activity in the "default network" in normal aging.	17
Correlated low-frequency BOLD fluctuations in the resting human brain are modulated by recent experience in category-preferential visual regions.	33
Detection of physiological noise in resting state fMRI using machine learning.	9
Hemispheric asymmetry of visual scene processing in the human brain: evidence from repetition priming and intrinsic activity.	22
Large-scale brain systems in ADHD: beyond the prefrontal-striatal model.	34
Asymmetric connectivity reduction and its relationship to "HAROLD" in aging brain.	8
Localization of cerebral functional deficits in treatment-naive, first-episode schizophrenia using resting-state fMRI.	22
Modulation of CNS pain circuitry by intravenous and sublingual doses of buprenorphine.	2
Exploring resting-state functional connectivity with total interdependence.	28
Spatial remapping of cortico-striatal connectivity in Parkinson's disease.	15
