Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
21777682	Fractal analysis of spontaneous fluctuations of the BOLD signal in rat brain.	Magnetic Resonance Research Center, Yale University, New Haven, Connecticut, USA.
15907297	Functional integration in schizophrenia: too little or too much? Preliminary results on fMRI data.	Clinique Psychiatrique-INSERM U405, Hôpitaux Universitaires-Strasbourg, France. jf@evc.net
23300958	Aberrant whole-brain functional connectivity and intelligence structure in children with primary nocturnal enuresis.	Department of Radiology, Shengjing Hospital of China Medical University, Shenyang, China.
21824753	Default-mode network connectivity and white matter burden in late-life depression.	Department of Bioengineering, University of Pittsburgh, Pittsburgh, PA, USA.
21761469	Can resting-state functional MRI serve as a complement to task-based mapping of sensorimotor function? A test-retest reliability study in healthy volunteers.	Department of Medical Radiation Physics, Clinical Sciences, Lund, Lund University, Sweden. peter.mannfolk@med.lu.se
21821265	Baseline and longitudinal patterns of hippocampal connectivity in mild cognitive impairment: evidence from resting state fMRI.	Department of Radiology, Xuanwu Hospital of Capital Medical University, Beijing 100053, PR China.
18486388	Independent component model of the default-mode brain function: combining individual-level and population-level analyses in resting-state fMRI.	Department of Neuroscience, University of Naples Federico II, Naples, Italy. fabrizio.esposito@unina.it
23056400	Dynamic changes of intrinsic brain activity in cirrhotic patients after transjugular intrahepatic portosystemic shunt: a resting-state FMRI study.	Department of Medical Imaging, Jinling Hospital, Clinical School of Medical College, Nanjing University, Nanjing, Jiangsu, China.
22669496	Concussion in athletics: ongoing clinical and brain imaging research controversies.	Department of Kinesiology, The Pennsylvania State University, University Park, 16802, USA. sms18@psu.edu
21219879	Paradigm shift in translational neuroimaging of CNS disorders.	Translational Imaging/Advanced Technology, Global Pharmaceutical Research and Development, Abbott Laboratories, 100 Abbott Park Road, Abbott Park, IL 60064, USA.
17714011	Open Access Series of Imaging Studies (OASIS): cross-sectional MRI data in young, middle aged, nondemented, and demented older adults.	Washington University, MO 63110, USA. dmarcus@wustl.edu
23271315	Long-term test-retest reliability of resting-state networks in healthy elderly subjects and with amnestic mild cognitive impairment patients.	Institute for Clinical Radiology, Ludwig-Maximilians-University Munich, Munich, Germany. janusch.blautzik@med.uni-muenchen.de
22659480	Grammar learning in older adults is linked to white matter microstructure and functional connectivity.	Department of Neurology, NeuroCure Cluster of Excellence, and Center for Stroke Research Berlin, Charité-Universitätsmedizin Berlin, Berlin, Germany. daria.antonenko@charite.de
22939920	A correlation-matrix-based hierarchical clustering method for functional connectivity analysis.	Center for Magnetic Resonance Research, Department of Radiology, University of Minnesota, Minneapolis, MN, USA. liux15@ninds.nih.gov
21347218	The neural architecture of the language comprehension network: converging evidence from lesion and connectivity analyses.	Department of Veterans Affairs Northern California Health Care System, Center for Aphasia and Related Disorders Martinez, CA, USA.
22996745	Altered brain functional connectivity in patients with cirrhosis and minimal hepatic encephalopathy: a functional MR imaging study.	Department of Medical Imaging, Jinling Hospital, Clinical School of Medical College, Nanjing University, 305 Zhongshan East Road, Xuanwu District, Nanjing, Jiangsu 210002, China. kevinzhanglongjiang@yahoo.com.cn
23052604	Imaging resting state brain function in multiple sclerosis.	Neuroimaging Research Unit, Institute of Experimental Neurology, Division of Neuroscience, San Raffaele Scientific Institute, Vita-Salute San Raffaele University, via Olgettina 60, 20132, Milan, Italy, m.filippi@hsr.it.
ERROR entry not found for 22755926
21170956	Localization of cerebral functional deficits in patients with non-neuropsychiatric systemic lupus erythematosus.	Department of Radiology, Southwest Hospital, Third Military Medical University, Chongqing 400038, China.
22770651	Resting-state functional and structural connectivity within an insula-amygdala route specifically index state and trait anxiety.	Division Neuropsychology, Institute of Psychology, University of Zurich, Binzmühlestrasse 14/25, Zurich, Switzerland. volker.baur@gmail.com
21769962	Recovery of hippocampal network connectivity correlates with cognitive improvement in mild Alzheimer's disease patients treated with donepezil assessed by resting-state fMRI.	Department of Psychiatry and Behavioral Medicine, Medical College of Wisconsin, Milwaukee, Wisconsin 53226, USA.
19014532	FMRI connectivity analysis of acupuncture effects on an amygdala-associated brain network.	Medical Image Processing Group, Institute of Automation, Chinese Academy of Sciences, Beijing, PR China. wei.qin@ia.ac.cn
12202086	T(2)(*) dependence of low frequency functional connectivity.	Department of Applied Physics, University of Michigan, Ann Arbor, Michigan 48109, USA.
23016794	Investigating effective brain connectivity from FMRI data: past findings and current issues with reference to granger causality analysis.	Department of Electrical and Computer Engineering, AU MRI Research Center, Auburn University, Alabama 36849, USA. gopi@auburn.edu
18431486	Normalized cut group clustering of resting-state FMRI data.	Rudolf Magnus Institute of Neuroscience, Department of Psychiatry, University Medical Center Utrecht, Utrecht, The Netherlands. M.P.vandenheuvel@umcutrecht.nl
21238490	Neural correlates of the interactive relationship between memory deficits and depressive symptoms in nondemented elderly: resting fMRI study.	Department of Psychiatry and Behavioral Medicine, Medical College of Wisconsin, Milwaukee, WI, USA.
17499519	The relationship within and between the extrinsic and intrinsic systems indicated by resting state correlational patterns of sensory cortices.	Department of Biomedical Engineering, School of Computer and Information Technology, Beijing Jiaotong University, Beijing 100044, PR China.
21544072	The effects of nicotine replacement on cognitive brain activity during smoking withdrawal studied with simultaneous fMRI/EEG.	GlaxoSmithKline Clinical Imaging Centre, Hammersmith Hospital, London, UK.
16180210	Negative BOLD responses to epileptic spikes.	Montreal Neurological Institute and Hospital, McGill University, Canada. eliane.kobayashi@mail.mcgill.ca
21376813	Functional connectivity MRI in infants: exploration of the functional organization of the developing brain.	Department of Neurology, Washington University, Saint Louis, MO 63110-1093, USA. smyserc@neuro.wustl.edu
20844603	Adolescent resting state networks and their associations with schizotypal trait expression.	Office Médico-Pédagogique Research Unit, Department of Psychiatry, University of Geneva Geneva, Switzerland.
23017873	Abnormal baseline brain activity in bipolar depression: a resting state functional magnetic resonance imaging study.	Department of Radiology, Capital Medical University, Beijing, China.
19393322	Relationship between respiration, end-tidal CO2, and BOLD signals in resting-state fMRI.	Department of Electrical Engineering, Stanford University, Stanford, CA 94305-5488, USA. catie@stanford.edu
22528829	Cognitive rehabilitation correlates with the functional connectivity of the anterior cingulate cortex in patients with multiple sclerosis.	Neuroimaging Research Unit, Institute of Experimental Neurology, Division of Neuroscience, San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milan, Italy.
20225278	fMRI study of mesial temporal lobe epilepsy using amplitude of low-frequency fluctuation analysis.	Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing, China.
20577591	DPARSF: A MATLAB Toolbox for "Pipeline" Data Analysis of Resting-State fMRI.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University Beijing, China.
21194570	Negative edges and soft thresholding in complex network analysis of resting state functional connectivity data.	Department of Psychological and Brain Sciences, Indiana University, 1101 E. 10th Street, Bloomington, IN 47405, USA. adamschw@indiana.edu
22744656	Abnormal whole-brain functional networks in homogeneous acute mild traumatic brain injury.	Donders Institute for Brain, Cognition and Behaviour, Centre for Cognitive Neuroimaging, Radboud University Nijmegen, The Netherlands. elena.shumskaya@donders.ru.nl
21159973	APOE4 allele disrupts resting state fMRI connectivity in the absence of amyloid plaques or decreased CSF Aβ42.	Department of Psychiatry, The Knight Alzheimer's Disease Research Center, Washington University School of Medicine, St. Louis, Missouri 63110, USA. yvette@npg.wustl.edu
23026956	Functional brain basis of hypnotizability.	Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine, Stanford, CA 94305, USA.
22408692	Functional MRI and Diffusion Tensor Imaging of Brain Reorganization After Experimental Stroke.	(blank affiliation)
23162440	Exploiting the brain's network structure in identifying ADHD subjects.	Computer Vision Lab, Department of Electrical Engineering and Computer Science, University of Central Florida Orlando, FL, USA.
21676094	Strength of default mode resting-state connectivity relates to white matter integrity in children.	Interdisciplinary Program in Neuroscience, Georgetown University Medical Center, USA.
23285228	Intrinsic brain network abnormalities in migraines without aura revealed in resting-state fMRI.	Life Sciences Research Center, School of Life Sciences and Technology, Xidian University, Xi'an, Shaanxi, China.
18346763	Regional homogeneity, functional connectivity and imaging markers of Alzheimer's disease: a review of resting-state fMRI studies.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.
22387472	Spontaneous activity in developing sensory circuits: Implications for resting state fMRI.	INSERM, U29, INMED, Marseille 13009, France. colonnese@gwu.edu
22789741	Generalized RAICAR: discover homogeneous subject (sub)groups by reproducibility of their intrinsic connectivity networks.	Key Laboratory of Behavioral Science, Laboratory for Functional Connectome and Development, and Magnetic Resonance Imaging Research Center, Institute of Psychology, Chinese Academy of Sciences, Beijing, China. yangz@psych.ac.cn
18786570	Detection of PCC functional connectivity characteristics in resting-state fMRI in mild Alzheimer's disease.	Department of Radiology, Zhong-Da Hospital, Southeast University, Nanjing 210009, China.
18219620	Persistent default-mode network connectivity during light sedation.	Department of Neurology and Neurological Sciences, Stanford University School of Medicine, Stanford, California 94305-5235, USA. greicius@stanford.edu
19289479	Disrupted intrinsic functional connectivity in the vegetative state.	CCS fMRI, Koelliker Hospital, Torino, Italy. franco.cauda@unito.it
21520351	Resting state basal ganglia network in idiopathic generalized epilepsy.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China.
22019883	Identification of MCI individuals using structural and functional connectivity networks.	Image Display, Enhancement, and Analysis (IDEA) Laboratory, Biomedical Research Imaging Center (BRIC) and Department of Radiology, University of North Carolina at Chapel Hill, NC, USA.
15271497	Energetic basis of brain activity: implications for neuroimaging.	Department of Diagnostic Radiology, Magnetic Resonance Research Center, Yale University School of Medicine, New Haven, CT 06510, USA. robert.shulan@yale.edu
22912754	Abnormalities of resting state functional connectivity are related to sustained attention deficits in MS.	Medical University of Graz, Department of Neurology, Graz, Austria.
21444068	Altered self-referential network in resting-state amnestic type mild cognitive impairment.	Medical School of Southeast University, Nanjing, China.
20921389	Network-level structural covariance in the developing brain.	Department of Neurology, University of California, San Francisco, CA 94143-0114, USA.
21925236	Aging-related changes in the default mode network and its anti-correlated networks: a resting-state fMRI study.	Department of Radiology, Sino-Japanese Friendship Hospital, Jilin University, Changchun 130033, China.
22020869	Regional homogeneity abnormalities in patients with interictal migraine without aura: a resting-state study.	Life Sciences Research Center, School of Life Sciences and Technology, Xidian University, Xi'an, Shaanxi, China.
22987018	Intrinsic cerebral connectivity analysis in an untreated female-to-male transsexual subject: a first attempt using resting-state fMRI.	Department of Neurological, Neurosurgical and Behavioural Sciences, University of Siena, Siena, Italy. emilianosantarnecchi@gmail.com
21364890	Impaired resting-state functional integrations within default mode network of generalized tonic-clonic seizures epilepsy.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China.
21854971	Hypnotic modulation of resting state fMRI default mode and extrinsic network connectivity.	Coma Science Group, Cyclotron Research Centre and Neurology Department, University and University Hospital of Liège, Liège, Belgium.
22905075	DMN Operational Synchrony Relates to Self-Consciousness: Evidence from Patients in Vegetative and Minimally Conscious States.	BM-Science - Brain and Mind Technologies Research Centre, Espoo, Finland.
22524972	Abnormal structural and functional brain connectivity in gray matter heterotopia.	Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA.
22969710	Classification of ADHD children through multimodal magnetic resonance imaging.	Neural Imaging Computation and Analysis Group, State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences Beijing, China.
22586478	Musical training induces functional plasticity in perceptual and motor networks: insights from resting-state FMRI.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China.
18952678	Control networks in paediatric Tourette syndrome show immature and anomalous patterns of functional connectivity.	Department of Neurology, Washington University School of Medicine, St Louis, MS 63110, USA. jchurch@wustl.edu
19531974	Spontaneous brain activity in the newborn brain during natural sleep--an fMRI study in infants born at full term.	Department of Clinical Neuroscience, Stockholm Brain Institute, Karolinska Institute, Stockholm, Sweden. Peter.Fransson@ki.se
21829564	Task-induced deactivation from rest extends beyond the default mode brain network.	Institut d'Alta Tecnologia-PRBB, CRC Mar, Hospital del Mar, Barcelona, Spain. habj@unimelb.edu.au
23236076	Brain Circuits That Link Schizophrenia to High Risk of Cigarette Smoking.	Maryland Psychiatric Research Center, Department of Psychiatry, University of Maryland School of Medicine, Baltimore, MD.
22217183	Altered networks in bothersome tinnitus: a functional connectivity study.	Department of Anatomy & Neurobiology, Washington University School of Medicine, St, Louis, Missouri 63110, USA. harold@pcg.wustl.edu
22558274	Sex-dependent correlations between the personality dimension of harm avoidance and the resting-state functional connectivity of amygdala subregions.	Department of Radiology, Tianjin Medical University General Hospital, Tianjin, China.
23041530	A parcellation scheme based on von Mises-Fisher distributions and Markov random fields for segmenting brain regions using resting-state fMRI.	Department of Psychiatry & Behavioral Sciences, Stanford University School of Medicine, Stanford, CA 94305, USA. sryali@stanford.edu
16206130	A comparison of signal instability in 2D and 3D EPI resting-state fMRI.	Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1a, 04103 Leipzig, Germany. ute@cmrr.umn.edu
22982941	Post-stimulation effect of electroacupuncture at Yintang (EX-HN3) and GV20 on cerebral functional regions in healthy volunteers: a resting functional MRI study.	School of Traditional Chinese Medicine, Southern Medical University, Guangzhou, Guangdong Province, China.
18465797	Endogenous brain oscillations and related networks detected by surface EEG-combined fMRI.	Department of Neurology and Brain Imaging Center, Johann Wolfgang Goethe-University, Frankfurt am Main, Germany. helmut@laufs.com
20006716	Time-frequency dynamics of resting-state brain connectivity measured with fMRI.	Department of Electrical Engineering, Stanford University, Stanford, CA 94305, USA. catie@stanford.edu
21840407	Cortico-striatal disconnection within the cingulo-opercular network in schizophrenia revealed by intrinsic functional connectivity analysis: a resting fMRI study.	Department of Medical Research and Education, Taipei Veterans General Hospital, Institute of Neuroscience, School of Life Science, National Yang-Ming University, Taipei 112, Taiwan.
