term	tf	df	score	x	y	Source
grief	-8.23630047365	-7.12125245324	58.6527749536	-8.23630047365	-7.12122245324	Cognitive Atlas
phonetics	-8.21293699782	-7.12125245324	58.4863977441	-8.21293699782	-7.12122245324	Cognitive Atlas
metacognition	-7.82864061742	-7.12125245324	55.7497262024	-7.82864061742	-7.12122245324	Cognitive Atlas
prejudice	-7.82812781568	-7.12125245324	55.7460744117	-7.82812781568	-7.12122245324	Cognitive Atlas
gustation	-7.76748487465	-7.12125245324	55.3142207191	-7.76748487465	-7.12122245324	Cognitive Atlas
anchoring	-8.52232057225	-6.42810527268	54.782373806	-8.52232057225	-6.42807527268	Cognitive Atlas
incubation	-8.4242805731	-6.42810527268	54.1521623705	-8.4242805731	-6.42807527268	Cognitive Atlas
chunking	-8.20228968804	-6.42810527268	52.7251815918	-8.20228968804	-6.42807527268	Cognitive Atlas
diencephalon	-8.16010739335	-6.42810527268	52.4540293609	-8.16010739335	-6.42807527268	PubBrain
assimilation	-8.10285453072	-6.42810527268	52.0860019327	-8.10285453072	-6.42807527268	Cognitive Atlas
chunk	-7.31123446486	-7.12125245324	52.0651463691	-7.31123446486	-7.12122245324	Cognitive Atlas
proprioception	-8.00880241901	-6.42810527268	51.4814250575	-8.00880241901	-6.42807527268	Cognitive Atlas
instinct	-7.95999234123	-6.42810527268	51.1676687392	-7.95999234123	-6.42807527268	Cognitive Atlas
metaphor	-8.32223946447	-6.02264016458	50.121853658	-8.32223946447	-6.02261016458	Cognitive Atlas
imprinting	-7.02780284837	-7.12125245324	50.0467582749	-7.02780284837	-7.12122245324	Cognitive Atlas
gestalt	-8.25617378832	-6.02264016458	49.7239638633	-8.25617378832	-6.02261016458	Cognitive Atlas
intonation	-8.19319421314	-6.02264016458	49.3446605442	-8.19319421314	-6.02261016458	Cognitive Atlas
framing	-8.18235233544	-6.02264016458	49.2793638161	-8.18235233544	-6.02261016458	Cognitive Atlas
imageability	-7.62854055386	-6.42810527268	49.0370617572	-7.62854055386	-6.42807527268	Cognitive Atlas
presubiculum	-7.98807143808	-6.02264016458	48.1092798805	-7.98807143808	-6.02261016458	PubBrain
dispositions	-7.96239170175	-6.02264016458	47.954620069	-7.96239170175	-6.02261016458	Cognitive Atlas
deception	-7.95763926842	-6.02264016458	47.9259978732	-7.95763926842	-6.02261016458	Cognitive Atlas
telencephalon	-7.95221710176	-6.02264016458	47.8933421145	-7.95221710176	-6.02261016458	PubBrain
irony	-7.9181816275	-6.02264016458	47.6883587002	-7.9181816275	-6.02261016458	Cognitive Atlas
