term	tfidf	tf	score
presubiculum	9.21503586242e-07	1.36699083487e-07	1.2596869567e-13
diencephalon	1.65350200388e-06	2.73398166975e-07	4.52064416948e-13
subthalamus	2.16519219394e-06	3.41747708718e-07	7.39949471215e-13
telencephalon	3.08529717309e-06	5.46796333949e-07	1.68702918339e-12
tectum	4.62794575964e-06	8.20194500924e-07	3.79581566263e-12
epithalamus	5.78725701356e-06	9.56893584411e-07	5.53778910762e-12
mesencephalon	7.31998417633e-06	1.36699083487e-06	1.00063512805e-11
subiculum	2.1959952529e-05	4.10097250462e-06	9.00571615242e-11
claustrum	2.33962565379e-05	6.28815784042e-06	1.47119353985e-10
pulvinar	2.49871706272e-05	6.97165325785e-06	1.74201889508e-10
habenula	3.22687653394e-05	6.28815784042e-06	2.0291108977e-10
forebrain	3.18933752252e-05	1.10726257625e-05	3.53143408171e-10
pons	4.47582581167e-05	1.44217533079e-05	6.45492557051e-10
hypothalamus	6.99494651053e-05	2.61778744878e-05	1.83112831802e-09
cuneus	7.41018944162e-05	3.57468103319e-05	2.64890636493e-09
parahippocampal_gyrus	0.000127442391645	9.11099391443e-05	1.16112685472e-08
striatum	0.000176076206726	0.000108880819998	1.91713217704e-08
putamen	0.000213863070709	0.00013054762473	2.79193158986e-08
anterior_cingulate	0.000175267726362	0.000262803988004	4.60610574563e-08
precuneus	0.000201386748862	0.000278729431231	5.61324139678e-08
thalamus	0.000231370039506	0.000286042832197	6.61817413858e-08
cerebellum	0.000287538244098	0.000248792331947	7.1537310273e-08
hippocampus	0.000290708024456	0.000285701084489	8.30555978566e-08
insula	0.000365941550106	0.000444340370876	1.62602604093e-07
amygdala	0.000461179575711	0.000373803643796	1.72390605845e-07
prefrontal_cortex	0.000259010793401	0.000715824750681	1.8540633661e-07
posterior_cingulate	0.000434088402101	0.000707964553381	3.07319201721e-07
