Year	type	Tag	count
2005	Count	Schizophrenia	1.0
2006	Count	Schizophrenia	2.0
2007	Count	Schizophrenia	5.0
2008	Count	Schizophrenia	4.0
2009	Count	Schizophrenia	5.0
2010	Count	Schizophrenia	19.0
2011	Count	Schizophrenia	21.0
2012	Count	Schizophrenia	39.0
2005	Count	Alzheimer's Disease	1.0
2006	Count	Alzheimer's Disease	2.0
2007	Count	Alzheimer's Disease	5.0
2008	Count	Alzheimer's Disease	4.0
2009	Count	Alzheimer's Disease	8.0
2010	Count	Alzheimer's Disease	8.0
2011	Count	Alzheimer's Disease	22.0
2012	Count	Alzheimer's Disease	33.0
2005	Count	Depression	2.0
2006	Count	Depression	0.0
2007	Count	Depression	2.0
2008	Count	Depression	1.0
2009	Count	Depression	5.0
2010	Count	Depression	9.0
2011	Count	Depression	24.0
2012	Count	Depression	37.0
2005	Count	Epilepsy and Seizures	0.0
2006	Count	Epilepsy and Seizures	4.0
2007	Count	Epilepsy and Seizures	2.0
2008	Count	Epilepsy and Seizures	4.0
2009	Count	Epilepsy and Seizures	6.0
2010	Count	Epilepsy and Seizures	8.0
2011	Count	Epilepsy and Seizures	15.0
2012	Count	Epilepsy and Seizures	20.0
2005	Count	Mild Cognitive Impairment	0.0
2006	Count	Mild Cognitive Impairment	0.0
2007	Count	Mild Cognitive Impairment	1.0
2008	Count	Mild Cognitive Impairment	1.0
2009	Count	Mild Cognitive Impairment	2.0
2010	Count	Mild Cognitive Impairment	4.0
2011	Count	Mild Cognitive Impairment	18.0
2012	Count	Mild Cognitive Impairment	29.0
2005	Count	Substance Dependence	0.0
2006	Count	Substance Dependence	0.0
2007	Count	Substance Dependence	1.0
2008	Count	Substance Dependence	0.0
2009	Count	Substance Dependence	2.0
2010	Count	Substance Dependence	12.0
2011	Count	Substance Dependence	16.0
2012	Count	Substance Dependence	8.0
2005	Count	Aging	0.0
2006	Count	Aging	1.0
2007	Count	Aging	2.0
2008	Count	Aging	0.0
2009	Count	Aging	3.0
2010	Count	Aging	6.0
2011	Count	Aging	8.0
2012	Count	Aging	12.0
2005	Count	Development	0.0
2006	Count	Development	1.0
2007	Count	Development	2.0
2008	Count	Development	1.0
2009	Count	Development	2.0
2010	Count	Development	4.0
2011	Count	Development	11.0
2012	Count	Development	7.0
2005	Count	Attention Deficit Hyperactivity Disorder	1.0
2006	Count	Attention Deficit Hyperactivity Disorder	2.0
2007	Count	Attention Deficit Hyperactivity Disorder	4.0
2008	Count	Attention Deficit Hyperactivity Disorder	2.0
2009	Count	Attention Deficit Hyperactivity Disorder	4.0
2010	Count	Attention Deficit Hyperactivity Disorder	3.0
2011	Count	Attention Deficit Hyperactivity Disorder	3.0
2012	Count	Attention Deficit Hyperactivity Disorder	11.0
2005	Count	Autism Spectrum Disorders	0.0
2006	Count	Autism Spectrum Disorders	1.0
2007	Count	Autism Spectrum Disorders	0.0
2008	Count	Autism Spectrum Disorders	3.0
2009	Count	Autism Spectrum Disorders	4.0
2010	Count	Autism Spectrum Disorders	8.0
2011	Count	Autism Spectrum Disorders	7.0
2012	Count	Autism Spectrum Disorders	3.0
2005	Count	Multiple Sclerosis	0.0
2006	Count	Multiple Sclerosis	0.0
2007	Count	Multiple Sclerosis	0.0
2008	Count	Multiple Sclerosis	1.0
2009	Count	Multiple Sclerosis	0.0
2010	Count	Multiple Sclerosis	3.0
2011	Count	Multiple Sclerosis	4.0
2012	Count	Multiple Sclerosis	12.0
2005	Count	Drugs and Medications	2.0
2006	Count	Drugs and Medications	0.0
2007	Count	Drugs and Medications	0.0
2008	Count	Drugs and Medications	2.0
2009	Count	Drugs and Medications	1.0
2010	Count	Drugs and Medications	4.0
2011	Count	Drugs and Medications	3.0
2012	Count	Drugs and Medications	5.0
2005	Count	Parkinson's Disease	0.0
2006	Count	Parkinson's Disease	0.0
2007	Count	Parkinson's Disease	0.0
2008	Count	Parkinson's Disease	0.0
2009	Count	Parkinson's Disease	2.0
2010	Count	Parkinson's Disease	2.0
2011	Count	Parkinson's Disease	5.0
2012	Count	Parkinson's Disease	10.0
2005	Count	Pain	0.0
2006	Count	Pain	1.0
2007	Count	Pain	0.0
2008	Count	Pain	0.0
2009	Count	Pain	1.0
2010	Count	Pain	5.0
2011	Count	Pain	1.0
2012	Count	Pain	10.0
2005	Count	Traumatic Brain Injury	0.0
2006	Count	Traumatic Brain Injury	0.0
2007	Count	Traumatic Brain Injury	1.0
2008	Count	Traumatic Brain Injury	0.0
2009	Count	Traumatic Brain Injury	0.0
2010	Count	Traumatic Brain Injury	1.0
2011	Count	Traumatic Brain Injury	6.0
2012	Count	Traumatic Brain Injury	8.0
2005	Count	Stroke	0.0
2006	Count	Stroke	0.0
2007	Count	Stroke	1.0
2008	Count	Stroke	0.0
2009	Count	Stroke	1.0
2010	Count	Stroke	0.0
2011	Count	Stroke	3.0
2012	Count	Stroke	10.0
2005	Count	Genetics	0.0
2006	Count	Genetics	0.0
2007	Count	Genetics	0.0
2008	Count	Genetics	0.0
2009	Count	Genetics	0.0
2010	Count	Genetics	3.0
2011	Count	Genetics	1.0
2012	Count	Genetics	10.0
2005	Count	Anxiety	0.0
2006	Count	Anxiety	0.0
2007	Count	Anxiety	1.0
2008	Count	Anxiety	0.0
2009	Count	Anxiety	1.0
2010	Count	Anxiety	2.0
2011	Count	Anxiety	4.0
2012	Count	Anxiety	5.0
