Year	type	Library	Tag	count
1995	Count	RS	All	1.0
1995	Count	RS	Connectome	0.0
1995	Count	DTI	All	7.0
1995	Count	DTI	Connectome	0.0
1996	Count	RS	All	0.0
1996	Count	RS	Connectome	0.0
1996	Count	DTI	All	4.0
1996	Count	DTI	Connectome	0.0
1997	Count	RS	All	3.0
1997	Count	RS	Connectome	0.0
1997	Count	DTI	All	7.0
1997	Count	DTI	Connectome	0.0
1998	Count	RS	All	3.0
1998	Count	RS	Connectome	0.0
1998	Count	DTI	All	16.0
1998	Count	DTI	Connectome	0.0
1999	Count	RS	All	3.0
1999	Count	RS	Connectome	0.0
1999	Count	DTI	All	41.0
1999	Count	DTI	Connectome	0.0
2000	Count	RS	All	4.0
2000	Count	RS	Connectome	0.0
2000	Count	DTI	All	36.0
2000	Count	DTI	Connectome	0.0
2001	Count	RS	All	5.0
2001	Count	RS	Connectome	0.0
2001	Count	DTI	All	67.0
2001	Count	DTI	Connectome	0.0
2002	Count	RS	All	11.0
2002	Count	RS	Connectome	0.0
2002	Count	DTI	All	116.0
2002	Count	DTI	Connectome	0.0
2003	Count	RS	All	5.0
2003	Count	RS	Connectome	0.0
2003	Count	DTI	All	125.0
2003	Count	DTI	Connectome	0.0
2004	Count	RS	All	13.0
2004	Count	RS	Connectome	0.0
2004	Count	DTI	All	177.0
2004	Count	DTI	Connectome	0.0
2005	Count	RS	All	21.0
2005	Count	RS	Connectome	0.0
2005	Count	DTI	All	271.0
2005	Count	DTI	Connectome	0.0
2006	Count	RS	All	36.0
2006	Count	RS	Connectome	0.0
2006	Count	DTI	All	348.0
2006	Count	DTI	Connectome	0.0
2007	Count	RS	All	56.0
2007	Count	RS	Connectome	0.0
2007	Count	DTI	All	433.0
2007	Count	DTI	Connectome	0.0
2008	Count	RS	All	95.0
2008	Count	RS	Connectome	0.0
2008	Count	DTI	All	539.0
2008	Count	DTI	Connectome	0.0
2009	Count	RS	All	148.0
2009	Count	RS	Connectome	0.0
2009	Count	DTI	All	636.0
2009	Count	DTI	Connectome	0.0
2010	Count	RS	All	259.0
2010	Count	RS	Connectome	16.0
2010	Count	DTI	All	809.0
2010	Count	DTI	Connectome	0.0
2011	Count	RS	All	407.0
2011	Count	RS	Connectome	30.0
2011	Count	DTI	All	1022.0
2011	Count	DTI	Connectome	6.0
2012	Count	RS	All	641.0
2012	Count	RS	Connectome	32.0
2012	Count	DTI	All	1190.0
2012	Count	DTI	Connectome	9.0
