year	journal	count
2005	NeuroImage	15
2006	NeuroImage	12
2007	NeuroImage	11
2008	NeuroImage	19
2009	NeuroImage	26
2010	NeuroImage	43
2011	NeuroImage	64
2012	NeuroImage	119
2005	PLOS ONE	0
2006	PLOS ONE	0
2007	PLOS ONE	0
2008	PLOS ONE	6
2009	PLOS ONE	7
2010	PLOS ONE	12
2011	PLOS ONE	37
2012	PLOS ONE	57
2005	Human Brain Mapping	8
2006	Human Brain Mapping	1
2007	Human Brain Mapping	3
2008	Human Brain Mapping	16
2009	Human Brain Mapping	16
2010	Human Brain Mapping	8
2011	Human Brain Mapping	28
2012	Human Brain Mapping	36
2005	Journal Of Neuroscience	0
2006	Journal Of Neuroscience	2
2007	Journal Of Neuroscience	1
2008	Journal Of Neuroscience	0
2009	Journal Of Neuroscience	6
2010	Journal Of Neuroscience	6
2011	Journal Of Neuroscience	18
2012	Journal Of Neuroscience	23
2005	Cerebral Cortex	1
2006	Cerebral Cortex	0
2007	Cerebral Cortex	1
2008	Cerebral Cortex	3
2009	Cerebral Cortex	4
2010	Cerebral Cortex	9
2011	Cerebral Cortex	16
2012	Cerebral Cortex	20
2005	PNAS	6
2006	PNAS	1
2007	PNAS	6
2008	PNAS	4
2009	PNAS	8
2010	PNAS	14
2011	PNAS	5
2012	PNAS	6
2005	Neuroscience Letters	0
2006	Neuroscience Letters	1
2007	Neuroscience Letters	3
2008	Neuroscience Letters	3
2009	Neuroscience Letters	6
2010	Neuroscience Letters	7
2011	Neuroscience Letters	14
2012	Neuroscience Letters	6
2005	Brain Research	0
2006	Brain Research	0
2007	Brain Research	0
2008	Brain Research	2
2009	Brain Research	5
2010	Brain Research	6
2011	Brain Research	10
2012	Brain Research	8
2005	Biological Psychiatry	1
2006	Biological Psychiatry	0
2007	Biological Psychiatry	2
2008	Biological Psychiatry	1
2009	Biological Psychiatry	0
2010	Biological Psychiatry	7
2011	Biological Psychiatry	8
2012	Biological Psychiatry	11
2005	Frontiers In Systems Neuroscience	0
2006	Frontiers In Systems Neuroscience	0
2007	Frontiers In Systems Neuroscience	0
2008	Frontiers In Systems Neuroscience	0
2009	Frontiers In Systems Neuroscience	0
2010	Frontiers In Systems Neuroscience	15
2011	Frontiers In Systems Neuroscience	4
2012	Frontiers In Systems Neuroscience	11
2005	Magnetic Resonance Imaging	5
2006	Magnetic Resonance Imaging	1
2007	Magnetic Resonance Imaging	2
2008	Magnetic Resonance Imaging	2
2009	Magnetic Resonance Imaging	5
2010	Magnetic Resonance Imaging	4
2011	Magnetic Resonance Imaging	3
2012	Magnetic Resonance Imaging	6
2005	Brain	0
2006	Brain	0
2007	Brain	1
2008	Brain	1
2009	Brain	2
2010	Brain	5
2011	Brain	8
2012	Brain	5
2005	Schizophrenia Research	0
2006	Schizophrenia Research	0
2007	Schizophrenia Research	2
2008	Schizophrenia Research	1
2009	Schizophrenia Research	0
2010	Schizophrenia Research	2
2011	Schizophrenia Research	4
2012	Schizophrenia Research	10
2005	Brain Connectivity	0
2006	Brain Connectivity	0
2007	Brain Connectivity	0
2008	Brain Connectivity	0
2009	Brain Connectivity	0
2010	Brain Connectivity	0
2011	Brain Connectivity	2
2012	Brain Connectivity	15
2005	MICCAI	1
2006	MICCAI	1
2007	MICCAI	1
2008	MICCAI	0
2009	MICCAI	0
2010	MICCAI	4
2011	MICCAI	4
2012	MICCAI	7
2005	Journal of Neuroscience Methods	0
2006	Journal of Neuroscience Methods	0
2007	Journal of Neuroscience Methods	0
2008	Journal of Neuroscience Methods	3
2009	Journal of Neuroscience Methods	0
2010	Journal of Neuroscience Methods	6
2011	Journal of Neuroscience Methods	4
2012	Journal of Neuroscience Methods	3
2005	Journal Of Neurophysiology	0
2006	Journal Of Neurophysiology	1
2007	Journal Of Neurophysiology	0
2008	Journal Of Neurophysiology	3
2009	Journal Of Neurophysiology	2
2010	Journal Of Neurophysiology	2
2011	Journal Of Neurophysiology	3
2012	Journal Of Neurophysiology	5
2005	Neuroreport	2
2006	Neuroreport	4
2007	Neuroreport	0
2008	Neuroreport	2
2009	Neuroreport	0
2010	Neuroreport	1
2011	Neuroreport	2
2012	Neuroreport	3
2005	Psychiatry Research	0
2006	Psychiatry Research	0
2007	Psychiatry Research	0
2008	Psychiatry Research	0
2009	Psychiatry Research	3
2010	Psychiatry Research	4
2011	Psychiatry Research	3
2012	Psychiatry Research	4
2005	Radiology	2
2006	Radiology	0
2007	Radiology	0
2008	Radiology	0
2009	Radiology	0
2010	Radiology	2
2011	Radiology	5
2012	Radiology	5
