index,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,CPY,PMCIDS,Full,Excerpts
0,The organization of the human cerebral cortex estimated by intrinsic functional connectivity,http://jn.physiology.org/content/106/3/1125.short,2011.0,1418,17,13091585466122172565,,"http://scholar.google.com/scholar?cites=13091585466122172565&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13091585466122172565&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:lfjghp6nrrUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYl5qV-4Yf-KOlQoxQ9mEoG-zKDbYA&scisf=4&ct=citation&cd=597&hl=en,,Journal of neurophysiology,"Yeo, BT Thomas & Krienen, Fenna M & Sepulcre, Jorge & Sabuncu, Mert R & Lashkari, Danial & Hollinshead, Marisa & Roffman, Joshua L & Smoller, Jordan W & Z{\""o}llei, Lilla & Polimeni, Jonathan R & others",Am Physiological Soc,202.57142857142856,21653723,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21653723&cmd=prlinks&retmode=ref,[]
1,Toward discovery science of human brain function,http://www.pnas.org/content/107/10/4734.short,2010.0,1477,36,12406587470552575458,,"http://scholar.google.com/scholar?cites=12406587470552575458&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12406587470552575458&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4i0ZUZINLawJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYS0vrUL0EVs6VhxPkxPD4FfnMtkmL&scisf=4&ct=citation&cd=110&hl=en,,Proceedings of the National Academy of Sciences,"Biswal, Bharat B & Mennes, Maarten & Zuo, Xi-Nian & Gohel, Suril & Kelly, Clare & Smith, Steve M & Beckmann, Christian F & Adelstein, Jonathan S & Buckner, Randy L & Colcombe, Stan & others",National Acad Sciences,184.625,20176931,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20176931&cmd=prlinks&retmode=ref,"[""Although it is being successfully implemented for exploration of the genome, discovery science has eluded the functional neuroimaging\n                              community. The core challenge remains the development of common paradigms for interrogating the myriad functional systems\n                              in the brain without the constraints of a priori hypotheses. Resting-state functional MRI (R-fMRI) constitutes a candidate\n                              approach capable of addressing this challenge. Imaging the brain during rest reveals large-amplitude spontaneous low-frequency\n                              (<0.1 Hz) fluctuations in the fMRI signal that are temporally correlated across functionally related areas. Referred to as\n                              functional connectivity, these correlations yield detailed maps of complex neural systems, collectively constituting an individual's\n                              “functional connectome.” Reproducibility across datasets and individuals suggests the functional connectome has a common architecture,\n                              yet each individual's functional connectome exhibits unique features, with stable, meaningful interindividual differences\n                              in connectivity patterns and strengths. Comprehensive mapping of the functional connectome, and its subsequent exploitation\n                              to discern genetic influences and brain–behavior relationships, will require multicenter collaborative datasets. Here we initiate\n                              this endeavor by gathering R-fMRI data from 1,414 volunteers collected independently at 35 international centers. We demonstrate\n                              a universal architecture of positive and negative functional connections, as well as consistent loci of inter-individual variability.\n                              Age and sex emerged as significant determinants. These results demonstrate that independent R-fMRI datasets can be aggregated\n                              and shared. High-throughput R-fMRI can provide quantitative phenotypes for molecular genetic studies and biomarkers of developmental\n                              and pathological processes in the brain. To initiate discovery science of brain function, the 1000 Functional Connectomes\n                              Project dataset is freely accessible at "", 'Accordingly, the 1000 Functional Connectomes Project was formed to aggregate existing R-fMRI data from collaborating centers\n                           throughout the world and to provide an initial demonstration of the ability to pool functional data across centers. As of\n                           December 11, 2009, the repository includes data from 1,414 healthy adult participants contributed by 35 laboratories (', '. We anticipate that the open availability of the 1000 Functional Connectomes dataset will recruit the broad participation\n                              and collaboration among the scientific community necessary for successful implementation of discovery-based science of human\n                              brain function. In addition, we hope that it will further advance the ethos of data sharing and collaboration initiated by\n                              such efforts as fMRIDC (', "" for supporting the 1000 Functional Connectomes Project data release, Avi Snyder for providing helpful insights and advice\n                              concerning project goals, and Cameron Craddock for helpful advice on this study. Financial support for the 1000 Functional\n                              Connectomes project was provided by grants from the National Institutes of Mental Health (R01MH083246 and R01MH081218 to F.X.C.\n                              and M.P.M.), National Institute on Drug Abuse (R03DA024775, to C.K.; R01DA016979, to F.X.C.), Autism Speaks, National Institute\n                              of Neurological Disorders and Stroke (R01NS049176, to B.B.), and the Howard Hughes Medical Institute (to J.S.A. and R.L.B.),\n                              as well as gifts to the NYU Child Study Center from the Stavros Niarchos Foundation, Leon Levy Foundation, Joseph P. Healy,\n                              Linda and Richard Schaps, and Jill and Bob Smith and an endowment provided by Phyllis Green and Randolph Cōwen. NITRC is funded\n                              by the National Institutes of Health's Blueprint for Neurosciences Research (""]"
2,"DPARSF: a MATLAB toolbox for"" pipeline"" data analysis of resting-state fMRI",http://journal.frontiersin.org/article/10.3389/fnsys.2010.00013/abstract,2010.0,1015,14,14114233685643467026,,"http://scholar.google.com/scholar?cites=14114233685643467026&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14114233685643467026&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:EpmhtcHU38MJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYcvOA-Vz72rW4jEg3xClciDqu7R5t&scisf=4&ct=citation&cd=350&hl=en,"... Data were selected from a large sample resting-state fMRI dataset of our group, which has beenpublicly released in the “1000 Functional Connectomes” Project 4 . We selected 86 young healthyvolunteers (48 females: 20.8 ± 1.6 years old, range 18–25; and 38 males: 20.7 ...",Frontiers in systems neuroscience,"Yan, Chaogan & Zang, Yufeng",Frontiers,126.875,20577591,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20577591&cmd=prlinks&retmode=ref,"['Data were selected from a large sample resting-state fMRI dataset of our group, which has been publicly released in the “1000 Functional Connectomes” Project']"
3,BrainNet Viewer: a network visualization tool for human brain connectomics,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068910,2013.0,522,15,14407808839267638629,,"http://scholar.google.com/scholar?cites=14407808839267638629&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14407808839267638629&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Zd1HsM3R8scJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYeP28yRmr3gngtOL7_hY-FESPh2ep&scisf=4&ct=citation&cd=394&hl=en,"... fMRI dataset. The dataset was downloaded from the 1000 Functional ConnectomesProject (www.nitrc.org/projects/fcon_1000/), which is a worldwide multi-site projectwith fMRI data sharing for the imaging community. The resting ...",PloS one,"Xia, Mingrui & Wang, Jinhui & He, Yong",Public Library of Science,104.4,23861951,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23861951&cmd=prlinks&retmode=ref,"['To demonstrate the visualization effects of this toolbox on real data, we analyzed a published resting-state fMRI dataset. The dataset was downloaded from the 1000 Functional Connectomes Project (']"
4,Cluster failure: why fMRI inferences for spatial extent have inflated false-positive rates,http://www.pnas.org/content/early/2016/06/27/1602413113.short,2016.0,202,12,12889086569341255184,,"http://scholar.google.com/scholar?cites=12889086569341255184&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12889086569341255184&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:EP7XDPI737IJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI2aIDKom8SdmA_jkWzECj7HbR_hvC&scisf=4&ct=citation&cd=133&hl=en,"... Another example of the use of open data is our previous work (14), where a total of 1,484resting-state fMRI datasets from the 1,000 Functional Connectomes Project (4) were used asnull data for task-based, single-subject fMRI analyses with the SPM software. ...",Proceedings of the National Academy of Sciences,"Eklund, Anders & Nichols, Thomas E & Knutsson, Hans",National Acad Sciences,101.0,27503879,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=27503879&cmd=prlinks&retmode=ref,[]
5,The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism,http://www.nature.com/mp/journal/v19/n6/abs/mp201378a.html,2014.0,354,22,9846320325644586589,,"http://scholar.google.com/scholar?cites=9846320325644586589&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9846320325644586589&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:XQ7BCisopYgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOeVrHwQl5OaetcaDNpVL3ND3-RgG&scisf=4&ct=citation&cd=0&hl=en,"Abstract Autism spectrum disorders (ASDs) represent a formidable challenge for psychiatry and neuroscience because of their high prevalence, lifelong nature, complexity and substantial heterogeneity. Facing these obstacles requires large-scale multidisciplinary ",Molecular psychiatry,"Di Martino, Adriana & Yan, Chao-Gan & Li, Qingyang & Denio, Erin & Castellanos, Francisco X & Alaerts, Kaat & Anderson, Jeffrey S & Assaf, Michal & Bookheimer, Susan Y & Dapretto, Mirella & others",Nature Publishing Group,88.5,23774715,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23774715&cmd=prlinks&retmode=ref,['N/A']
6,A comprehensive assessment of regional variation in the impact of head micromovements on functional connectomics,http://www.sciencedirect.com/science/article/pii/S1053811913002127,2013.0,407,11,2472366839706300242,,"http://scholar.google.com/scholar?cites=2472366839706300242&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2472366839706300242&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Ui8mo4qcTyIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYa_cRDRr3k4mFi6GRthHNTW1YaYIL&scisf=4&ct=citation&cd=314&hl=en,"... (2012), Beijing and Cambridge datasets) imaging datasets from the 1000 Functional ConnectomesProject and the International Neuroimaging Data-sharing Initiative. ... TRT reliability based on theNYU TRT dataset; all data are available at http://fcon_1000.projects.nitrc.org. ...",Neuroimage,"Yan, Chao-Gan & Cheung, Brian & Kelly, Clare & Colcombe, Stan & Craddock, R Cameron & Di Martino, Adriana & Li, Qingyang & Zuo, Xi-Nian & Castellanos, F Xavier & Milham, Michael P",Elsevier,81.4,23499792,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23499792&cmd=prlinks&retmode=ref,['N/A']
7,Salience processing and insular cortical function and dysfunction,http://www.nature.com/nrn/journal/v16/n1/abs/nrn3857.html,2015.0,227,10,7308073033482135980,,"http://scholar.google.com/scholar?cites=7308073033482135980&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=7308073033482135980&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:rGlQQbR9a2UJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJQMjO2WrH8jNm3_uef3-9RIRYdKmJ&scisf=4&ct=citation&cd=711&hl=en,,Nature Reviews Neuroscience,"Uddin, Lucina Q",Nature Research,75.66666666666667,25406711,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25406711&cmd=prlinks&retmode=ref,['N/A']
8,Impact of in-scanner head motion on multiple measures of functional connectivity: relevance for studies of neurodevelopment in youth,http://www.sciencedirect.com/science/article/pii/S1053811911014650,2012.0,441,12,13114045645298311844,,"http://scholar.google.com/scholar?cites=13114045645298311844&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13114045645298311844&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:pKJDgAhz_rUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYftKFKAGnh8ahWl7Nq5M6Ri9gtIiU&scisf=4&ct=citation&cd=437&hl=en,"... section. fALFF was calculated as described by Zuo et al. (2010a), and wasimplemented using scripts written by Biswal et al. (2010) as part of the 1000 functionalconnectomes project (www.nitrc.org/projects/fcon_1000/). Briefly ...",Neuroimage,"Satterthwaite, Theodore D & Wolf, Daniel H & Loughead, James & Ruparel, Kosha & Elliott, Mark A & Hakonarson, Hakon & Gur, Ruben C & Gur, Raquel E",Elsevier,73.5,22233733,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22233733&cmd=prlinks&retmode=ref,['N/A']
9,A whole brain fMRI atlas generated via spatially constrained spectral clustering,http://onlinelibrary.wiley.com/doi/10.1002/hbm.21333/full,2012.0,424,15,5512117428763993738,,"http://scholar.google.com/scholar?cites=5512117428763993738&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5512117428763993738&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:iqa31Zj5fkwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYWUuECeRA_xd4PgrvSb991hKLCq1l&scisf=4&ct=citation&cd=199&hl=en,"... Kriegeskorte et al., 2010], the analysis was performed on an independent dataset, the New YorkUniversity test-retest dataset [Shehzad et al., 2009] freely available through the 1,000 FunctionalConnectomes Project [Biswal et al., 2010] (http://fcon_1000.projects.nitrc.org). ...",Human brain mapping,"Craddock, R Cameron & James, G Andrew & Holtzheimer, Paul E & Hu, Xiaoping P & Mayberg, Helen S",Wiley Online Library,70.66666666666667,21769991,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21769991&cmd=prlinks&retmode=ref,[]
