Article Number,Use of Data,Article Specifiers
9,Y,Q
10,N,
15,Y,
16,N,
18,N,
25,Y,
27,Y,
28,Y,Q
29,Y,
33,S,Q
35,Y,
40,Y,
42,N,
45,Y,Q
47,Y,Q
54,N,
56,N,
67,N,
78,Y,Q
79,Y,
84,N,
96,Y,
97,Y,
110,Y,
113,Y,
114,Y,Q
119,Y,
120,Y,
121,N,
129,Y,
133,N,
136,Y,
137,Y,
140,N,
146,Y,
155,N,
160,N,
166,Y,Q
173,N,
175,Y,
176,Y,
186,N,
193,Y,
196,N,
198,N,
207,Y,
209,N,
217,Y,
218,Y,
219,Y,
221,Y,
225,N,
227,Y,
228,N,
233,Y,
236,Y,
241,N,
244,N,
249,Y,
251,N,
253,N,
260,Y,
263,N,
264,Y,
268,N,
271,Y,
273,Y,
277,N,
282,S,
283,Y,
287,Y,
288,S,
295,Y,
297,Y,
299,N,
301,Y,
304,Y,
306,N,
308,Y,
318,Y,
317,Y,
328,Y,
329,Y,
331,Y,
332,N,
335,Y,
338,Y,
340,Y,
350,Y,
351,Y,
352,N,
355,Y,
357,N,
359,Y,
372,N,
373,Y,
374,Y,
378,Y,
382,Y,
384,N,
387,Y,
393,N,
397,Y,
402,Y,
415,Y,
418,N,
420,Y,
425,Y,
426,Y,
435,N,
436,Y,
439,S,
441,S,
444,S,
454,Y,
458,Y,
464,Y,
469,Y,
470,N,
474,N,
475,S,
481,N,
483,Y,
485,N,
502,Q,
507,N,
509,Q,
494,N,
517,Y,
518,Y,
522,Y,
534,N,
535,N,
539,N,
547,Y,
549,Y,
550,Y,
556,N,
563,Y,
571,Y,
574,Y,
576,N,
577,S,
580,Y,
593,N,
599,Y,Q
603,Y,
607,Y,
610,Y,
611,Y,
614,Y,
619,Y,
620,Y,
622,Y,
625,N,
626,Y,
635,Y,
637,Y,
638,Y,
641,N,
650,Y,
655,Y,
657,N,
658,Y,
659,Y,
662,N,
664,N,
684,Y,
686,Y,
688,Y,
693,Y,
695,N,
700,N,
705,N,
708,N,
722,N,
723,Y,
733,Y,
736,Y,
741,Y,
745,N,
749,Y,
751,Y,
753,Y,
758,N,
763,N,
768,Y,
774,N,
775,Y,
796,N,
799,Y,
800,Y,
801,Y,
803,Y,
810,N,
812,Y,
821,Y,
825,I,
826,Y,
829,Y,
830,Y,
831,Y,
836,Y,Q
838,Y,
841,Y,
842,Y,
851,Y,
861,N,
865,N,
869,Y,
876,Y,
878,Y,
882,N,
886,Y,
888,Y,
891,Y,
894,Y,
895,Y,Q
896,Y,
897,Y,
900,Y,
903,Y,
906,Y,
908,N,
910,Y,
911,Y,
913,S,
914,N,
916,Y,
919,Y,
924,Y,Q
925,Y,
928,Y,
930,Y,
940,Y,
942,N,
958,Y,
961,Y,O
969,Y,
976,Y,
977,N,
981,N,
982,I,
983,Y,
990,N,
995,Y,
1001,Y,
1002,Y,
1003,N,
1006,Y,
1008,N,
1011,N,
1015,Y,
1028,Y,
1029,Y,
1030,Y,
1031,N,
1034,N,
1036,Y,
1042,Y,
1043,Y,
1055,Y,
1058,Y,
1059,Y,
1061,Y,Q
1062,Y,
1065,N,
1075,I,
1077,N,
1079,Y,
1086,N,
1089,N,
1090,Y,
1095,N,
1098,N,
1099,Y,
1101,N,
1105,Y,
1110,Y,
1113,Y,
1118,N,
1119,Y,
1124,Y,
1126,Y,
1132,N,
1135,Y,
1137,Y,
1138,Y,
1139,Y,
1161,Y,
1169,Y,
1170,Y,
1174,Y,
1175,Y,
1177,Y,
1182,Y,
1189,Y,
1193,Y,O
1194,Y,
1195,Y,
1197,Y,
1204,N,O
1207,Y,Q
1211,N,
1214,Q,
1217,Y,
1227,N,Q
1229,N,
1231,N,
1232,N,
1241,Y,
1248,N,
1250,Y,
1251,Y,
1260,Y,O
1261,N,
1276,N,
1277,N,
1285,Y,
1289,N,
1291,Y,
1294,Y,
1302,N,
1305,Y,
1306,N,
1310,Y,
1314,N,
1316,N,
1318,N,
1324,N,
1332,N,
1333,I,
1334,N,
1337,Y,
1338,N,
1342,N,
1346,N,
1348,Y,Q
1356,N,
1361,N,
1362,N,
1375,S,
1387,N,
1391,N,
1392,N,
1394,Y,Q
1395,Y,
1398,Y,
1400,Y,
1403,Y,
1407,S,
1483,Y,
1488,N,
1489,Y,
1491,Y,
1493,N,
1494,Y,
1495,Y,
1498,N,
1500,N,O
1501,N,O
1504,Y,
1507,Y,
1509,N,
1510,Y,
1513,Y,
1515,N,
1529,Y,
1531,Y,
1532,Y,
1536,N,
1557,I,
445,Y,
565,N,
566,N,
935,Y,
938,Y,
1205,Y,
1411,Y,
1414,Y,Q
1424,Y,
1431,N,Q
1432,Y,
1447,N,
1448,Y,
1452,Y,
1462,Y,
1463,N,
1464,N,
1466,Y,
1479,Y,
1423,Y,
1,Y,Q
3,Y,
14,N,
22,N,
26,N,
50,Y,
53,Y,
57,Y,
61,Y,
68,Y,Q
71,N,
81,Y,
87,Y,Q
89,Y,
95,S,
106,Y,
106,N,
122,Y,O
126,Y,
127,Y,
135,Y,
143,Y,
154,Y,
161,Y,
165,Y,
169,Y,
171,Y,
174,Y,
177,Y,
179,Y,
181,N,
195,Y,
201,N,
206,Y,
211,Y,
212,Y,
215,Y,
216,Y,
220,Y,
230,Y,
247,Y,
255,Y,
286,Y,Q
296,Y,
302,N,
303,Y,
305,Y,
307,Y,
1352,N,
1355,N,
310,Y,
320,Y,
324,Y,
325,N,
327,Y,
330,Y,
344,Y,Q
353,Y,
354,Y,
379,N,
395,N,
401,S,
408,Y,
410,N,
412,Y,
413,Y,
416,Y,
430,Y,
438,N,
443,N,
451,N,
456,Y,
463,Y,
466,Y,
467,Y,
477,Y,
495,N,
504,Y,
511,Y,
524,Y,
525,Y,
526,Y,
541,N,
544,Y,
560,Y,
568,N,
569,N,
575,N,
579,Y,
581,N,
594,N,
598,N,
604,Y,
623,S,
627,Y,
630,Y,
633,N,
663,Y,
667,Y,
671,Y,
673,Y,
676,Y,
678,Y,
680,N,
701,Y,
703,N,
712,Y,
714,Y,
721,Y,
744,N,
755,Y,
765,Y,
785,N,
786,Y,
790,Y,
824,N,
837,Y,
846,N,
850,N,
852,Y,
857,Y,
872,N,
873,N,
883,Y,
884,Y,
887,Y,
912,N,
915,Y,
931,Y,
933,N,
937,Y,
941,N,O
943,Y,
953,N,O
957,Y,
986,Y,
994,Y,
998,Y,
1004,Y,
1010,Y,
1012,Y,O
1018,N,
1019,Y,Q
1022,Y,
1024,Y,
1026,Y,
1032,Y,
1033,Y,
1038,Y,
1041,Y,
1045,Y,
1050,N,
1066,Y,
1084,Y,
1097,N,
1116,Y,Q
1143,N,O
1147,N,O
1153,Y,
1160,N,
1167,N,
1184,Y,
1187,Y,
1200,Y,
1203,Y,
1208,N,
1210,Y,
1215,N,Q
1220,Y,O
1221,Y,
1226,Y,
1230,Y,
1243,N,
1252,N,
1254,N,
1255,Y,
1257,I,
1269,Y,
1278,Y,
1284,N,
1286,N,
1287,N,
1296,N,
1300,N,
1319,Y,
1325,N,
1326,Y,
1336,S,
1339,N,
1340,Y,
1343,N,
1344,Y,
1363,N,
1364,Y,
1365,Y,
1376,Y,
1379,N,
1381,N,
1386,N,
1405,N,
1409,Y,
1415,Y,
1425,Y,
1428,N,
1429,S,
1430,Y,
1442,N,
1446,N,
1453,Y,
1455,Y,
1456,Y,
1467,N,
1470,Y,
1472,N,
1474,Y,
1480,N,
1485,Y,
1502,Y,
1505,Y,
1506,N,
1508,Y,
1517,N,
1520,N,
1522,Y,
1525,Y,
1526,Y,
1528,S,
1535,Y,
1537,Y,
1539,Y,
1552,N,
1554,Y,
