Article Number,Use of Data,Article Specifiers,
1,Y,QO,PNAS
4,Y,,
6,Y,Q,
8,S,,
9,S,,
15,Y,,
17,Y,,
18,N,,
20,Y,Q,
21,Y,,
23,Y,,
25,Y,O,Supplementary article
32,N,,
41,Y,,
43,Y,,
44,N,,
51,Y,Q,
57,Y,,
60,N,Q,
62,Y,Q,
64,N,,
66,S,,
69,Y,,
71,N,,
72,N,Q,
73,I,,
77,N,,
81,N,,
87,Y,Q,
90,Y,,
100,N,,
104,N,,
105,N,,
107,S,,
110,Y,,
114,Y,Q,
116,Y,,
117,N,,
121,N,,
123,Y,,
139,S,,
144,Y,Q,
147,N,,
150,Y,,
151,N,,
156,N,,
165,Y,,
172,Y,,
176,Y,,
178,Y,,
179,Y,,
180,N,,
181,N,,
190,N,,
192,Y,O,PNAS
200,Y,,
202,Y,,
210,Y,Q,
214,S,,
216,Y,,
228,N,,
231,N,,
232,Y,Q,
234,Y,,
238,N,,
239,Y,,
240,Y,,
243,N,,
250,Y,,
259,Y,,
262,Y,,
266,Y,,
269,Y,,
270,N,Q,
271,Y,,
273,Y,,
279,N,,
283,Y,,
284,Y,,
286,Y,Q,
292,N,,
293,N,,
295,Y,,
303,Y,,
305,Y,,
313,Y,,
325,N,,
334,Y,,
337,Y,,
341,S,,
343,Y,,
345,N,,
346,Y,,
349,N,,
358,N,,
363,I,,
364,N,,
365,N,,
366,S,,
377,Y,,
378,Y,,
385,N,,
388,N,,
404,N,,
407,I,,
408,Y,,
412,Y,,
414,Y,Q,
418,N,,
420,Y,,
421,Y,Q,
423,Y,Q,
427,S,,
428,Y,Q,
429,Y,,
433,N,,
435,N,,
437,S,,
444,S,,
447,N,,
453,Y,,
457,N,,
458,Y,,
459,N,,
461,N,,
464,Y,,
465,N,,
476,Y,,
478,N,,
480,N,,
487,Y,,
489,N,,
492,Y,,
494,N,,
495,N,,
497,S,,
499,N,,
504,Y,,
514,Y,Q,
520,Y,,
521,Y,,
529,Y,,
530,Y,,
532,Y,,
533,N,,
536,Y,O,
543,S,,
552,N,,
554,N,,
558,N,,
562,N,,
575,N,,
579,Y,,
582,Y,Q,
583,N,,
587,Y,,
592,N,,APA Official Actions Paper
593,Y,,
594,N,,
596,N,,
601,Y,,
602,N,O,
613,Y,,
628,S,,
634,Y,O,
639,Y,,
644,N,,
645,Y,,
646,Y,,
647,Y,,
648,S,,
652,Y,,
656,Y,,
663,Y,,
675,S,,
680,N,,
682,Y,,
691,Y,,
699,Y,,
702,N,,
706,Y,O,
713,N,,
714,Y,,
718,N,,
719,Y,,
720,Y,,
724,Y,,
725,Y,,
727,Y,T,
728,S,,
730,Y,,
735,Y,Q,
741,Y,,
743,Y,,
744,N,,
746,N,,
748,N,,
752,N,,
754,N,,
760,N,,
770,Y,O,
771,N,,
772,N,,
784,N,,
787,N,,
790,Y,,
792,Y,,
795,Y,,
797,Y,O,
807,Y,O,
809,Y,,
815,Y,,
816,Y,O,
824,N,,
827,N,,
828,N,O,
833,Y,O,
835,Y,Q,
843,Y,O,
847,Y,O,
848,N,O,
851,Y,,
855,Y,O,
858,S,,
861,N,O,
867,N,,
870,Y,,
874,N,Q,
876,Y,,
880,N,,
885,N,,
892,N,,
910,Y,,
914,N,,
925,Y,Q,
927,N,,
937,Y,O,
951,Y,,
952,O,,
967,Y,O,
970,Y,O,
971,I,Q,FCP-INDI website
973,Y,O,
979,Y,O,
989,N,,
991,Y,O,
992,Y,O,
997,N,O,
1013,I,,
1018,N,,
1020,Y,O,
1023,S,O,
1025,N,,
1037,N,O,
1038,Y,,
1039,N,,
1040,Y,T,
1042,Y,O,
1044,Y,,
1045,Y,T,
1046,Y,O,
1051,N,O,
1055,Y,,
1057,Y,QO,
1060,Y,,
1063,Y,QO,
1064,Y,,
1070,N,,
1071,I,T,
1072,N,T,
1073,I,T,
1078,Y,O,
1081,N,O,
1082,Y,,
1083,Y,QO,
1085,Y,T,
1087,Y,,
1088,Y,,
1092,Y,O,
1093,Y,QO,
1096,Y,T,
1102,Y,Q,
1108,Y,,
1111,N,,
1112,Y,O,
1115,Y,O,
1120,Y,,
1123,I,O,
1140,Y,QO,
1144,Y,,
1152,Y,,
1158,Y,O,
1159,Y,O,
1162,N,O,
1164,Y,T,
1166,Y,T,
1171,I,T,
1173,Y,,
1178,Y,O,
1179,Y,O,
1183,Y,O,
1188,N,Y,
1192,Y,O,
1197,Y,,
1206,N,,
1209,I,O,
1210,Y,,
1225,Y,O,
1234,Y,QO,
1235,Y,QO,
1237,Y,QO,
1242,S,T,
1246,Y,,
1249,N,,
1258,Y,,
1259,Y,,
1260,Y,T,
1264,Y,,
1267,Y,O,
1272,N,O,
1279,N,QO,
1282,N,,
1288,Y,,
1290,Y,O,
1298,N,,
1301,N,,
1304,N,,
1307,Y,O,
1308,Y,T,
1311,N,,
1322,Y,T,
1324,N,T,
1328,N,,
1329,N,,
1330,N,,
1331,N,,
1334,Y,O,
1335,N,,
1341,Y,T,
1345,Y,T,
1347,S,T,
1351,I,O,
1353,Y,QO,
1354,Y,O,
1355,N,,
1357,Y,,
1358,Y,T,
1371,N,,
1372,N,O,
1373,Y,O,
1376,Y,T,
1380,Y,,
1382,Y,T,
1388,Y,O,
1396,N,,
1400,Y,,
1401,S,O,
1402,Y,T,
1405,N,,
1406,N,O,
1410,Y,,
1412,Y,,
1415,N,O,
1417,Y,QO,
1427,Y,,
1437,Y,O,
1441,Y,O,
1449,Y,,
1452,N,O,
1456,Y,,
1457,N,O,
1461,Y,T,
1471,Y,,
1472,I,,
1475,N,O,
1476,Y,,
1477,Y,O,
1481,N,,
1484,T,,
1486,Y,O,
1490,Y,O,
1499,N,,
1512,Y,O,
1514,Y,,
1518,Y,O,
1544,Y,QO,
1545,Y,O,
1546,I,,
1549,Y,Q,
1551,Y,T,
1555,Y,T,
1559,I,,
24,I,,
29,Y,,
38,S,,
45,Y,Q,
46,Y,,
52,Y,Q,
54,N,,
65,N,,
74,Y,Q,
75,Y,,
76,N,,
80,N,,
88,Y,,
93,Y,,
124,Y,,
128,N,,
131,N,Q,
141,Y,Q,
148,Y,,
159,N,,
188,N,,
203,N,,
213,S,,
229,Y,,
236,Y,Q,
244,N,,
252,Y,,
268,N,,
278,N,O,
290,Y,,
291,N,,
294,N,,
306,N,,
308,Y,,
311,S,,
314,N,,
316,Y,,
328,Y,,
335,Y,,
347,N,,
348,Y,,
357,I,,
362,Y,,
367,Y,,
368,S,,
370,Y,,
371,Y,,
380,Y,Q,
382,N,,
383,N,,
386,N,,
391,Y,O,
392,Y,,
396,Y,,
400,Y,,Journal Article
403,Y,,
426,N,Q,
439,S,O,
440,N,,
442,Y,,
450,Y,,
455,N,,
460,Y,,
470,N,Q,
488,N,,
490,N,QO,
493,Y,,
503,I,Q,
513,N,,Journal
519,N,Q,
523,S,Q,
531,N,,
546,N,,
547,Y,,Journal
553,N,,
555,N,,
557,Y,,
564,Y,,
565,N,,
566,N,,
567,N,,
571,Y,,
572,Y,,
573,Y,,
577,I,,
585,N,,
591,N,,
595,Y,,
597,Y,,
608,Y,,
619,N,,
624,N,,
640,Y,,
654,Y,,
661,N,,
662,N,,
664,N,,
668,Y,,
670,Y,,
672,S,Q,Contributed scripts to fcp-indi
688,Y,,
689,Y,,
690,N,,
692,Y,O,
694,Y,,
729,Y,O,
731,Y,,
732,Y,,
733,Y,,
738,Y,O,
740,N,Q,
749,Y,,
750,Y,O,
751,Y,,
762,Y,,
763,N,,
768,Y,,
777,Y,,
779,N,,
782,N,Q,
783,Y,,
801,Y,O,
805,Y,O,
813,Y,,
834,N,,
841,Y,,
863,Y,,
864,N,,
865,N,,
889,N,,
893,Y,,
897,Y,,
898,Y,O,
906,Y,,
916,Y,O,
918,N,,
919,Y,O,
920,Y,,
921,Y,,
923,Y,,
924,Y,Q,
932,N,O,
966,N,,Journal
975,Y,O,
976,Y,,
977,Y,,
978,Y,,
980,I,O,
987,Y,T,
988,Y,,
999,Y,O,
1014,Y,O,
1017,Y,QO,Redirects to ABIDE site
1021,N,O,
1034,N,T,
1048,Y,T,
1052,Y,O,
1054,Y,Q,
1056,Y,O,
1067,Y,,
1074,N,O,
1076,Y,T,
1077,I,O,
