Article Number,Use of Data,Article Specifiers
0,Y,Q
2,Y,Q
7,N,
14,N,Q
19,Y,
23,S,
36,N,J
38,Y,
46,Y,
47,Y,Q
48,N,Q
52,N,Q
55,Y,
64,N,
69,Y,Q
70,Y,
75,Y,
76,N,
85,N,Q
89,Y,
92,N,Q
96,Y,
102,N,
103,Y,Q
108,Y,JQ
109,Y,
111,N,
112,Y,
115,Y,
124,Y,
125,Y,
126,Y,
127,N,J
129,Y,
130,N,
133,N,
134,N,
149,Y,
152,Y,
153,S,
162,Y,
167,Y,
168,N,J
173,N,
174,Y,
178,Y,
187,S,
194,N,
195,Y,
205,Y,
211,Y,
213,S,
221,Y,
222,Y,
223,N,
224,Y,
226,N,
237,N,
242,Y,
258,Y,Q
260,Y,
261,Y,
265,Y,
267,Y,
272,N,
274,Y,
276,Y,
278,N,O
281,Y,Q
285,Y,
289,Y,
290,Y,
298,Y,
301,Y,
302,N,
309,Y,
316,Y,
319,Y,
336,Y,Q
341,S,
344,Y,Q
355,Y,
356,Y,
362,Y,
367,Y,
368,S,
371,Y,
379,N,
387,Y,Q
389,Y,
390,S,
394,Y,
396,Y,
397,Y,
398,Y,
399,N,Q
406,S,
411,Y,
416,Y,
417,Y,
422,Y,
427,S,
430,Y,
434,Y,
436,Y,
442,Y,
445,Y,
456,Y,
460,Y,
466,Y,
467,Y,O
468,Y,
471,Y,Q
482,Y,
486,Y,
491,S,
493,Y,
496,N,
497,S,
505,Y,
506,N,
508,N,
510,N,
511,Y,
525,Y,
526,Y,
528,Y,
529,Y,
540,N,
567,N,
569,N,
570,Y,
578,Y,
580,Y,
589,Y,
595,Y,
598,N,
604,Y,
607,Y,
609,Y,
615,N,
616,N,
621,Y,
623,S,
624,N,
626,Y,
629,Y,
641,N,
649,Y,
651,Y,O
654,Y,
656,Y,
660,Y,
661,N,
672,S,Q
677,Y,
679,N,
686,Y,
689,Y,
694,Y,
696,N,
698,N,
707,N,
710,N,
715,Y,
716,N,J
717,N,
722,N,
726,S,
729,Y,
730,Y,
731,Y,
735,Y,
737,Y,
739,Y,
740,N,Q
746,N,
755,N,
757,Y,
758,N,
766,N,
769,Y,
775,Y,
776,N,
778,Y,
785,N,
798,Y,
799,Y,
802,N,T
804,Y,
805,Y,
806,Y,
808,N,T
811,Y,
813,Y,
814,Y,
817,Y,
818,N,
820,Y,
823,Y,
830,Y,J
832,Y,
834,Y,
837,Y,
839,Y,
840,N,
842,Y,O
845,Y,
853,Y,
854,N,
858,S,
859,Y,
860,N,
862,Y,
863,Y,
866,Y,J
867,N,
868,Y,
871,Y,
875,Y,
889,N,
890,Y,
893,Y,
896,Y,
901,N,
902,Y,
904,Y,
905,N,
907,N,Q
909,Y,O
915,Y,
917,S,
922,N,J
926,Y,
932,N,
939,Y,
944,Y,
945,Y,O
948,N,
949,Y,
950,Y,J
955,N,
958,Y,
959,N,
960,Y,
965,Y,
966,Y,J
973,Y,
974,N,Q
975,Y,
981,Y,J
982,Y,O
984,N,
993,N,O
997,N,
1003,N,O
1005,Y,QJ
1008,N,
1009,Y,
1011,I,
1016,Y,
1017,N,Q
1022,Y,
1035,N,
1043,Y,
1046,Y,
1048,Y,
1050,N,
1057,N,JQ
1067,Y,
1074,N,
1076,Y,Q
1078,Y,QJ
