Article No,Use of Data,Article Specifiers,Reviewer,
13,N,,HX,
92,Y,Q,HX,
118,Y,,HX,
508,N,,HX,
631,N,Q,HX,
696,N,,HX,
802,S,T,HX,
871,N,,HX,
1156,Y,O,HX,
1181,N,,HX,
1185,N,,HX,
1275,Y,T,HX,"although pdf is of his oral exam, not his actual dissertation"
1303,Y,O,HX,
1309,S,,HX,
1369,Y,O,HX,AUTHOR IS WRONG
1416,N,TQ,HX,
1433,I,,HX,
1473,N,T,HX,
1542,Y,O,HX,
23,Y,,JC,
36,Y,Q,JC,
38,S,,JC,
52,N,Q,JC,
117,N,,JC,
127,N,,JC,
160,N,,JC,
167,N,,JC,
184,Y,,JC,
263,N,,JC,
292,Y,,JC,
336,S,Q,JC,
377,Y,,JC,
407,N,,JC,
446,S,Q,JC,
471,N,Q,JC,
482,N,,JC,
528,N,,JC,
610,N,,JC,
649,S,,JC,
653,N,Q,JC,
720,N,,JC,
737,N,,JC,
755,N,,JC,
760,N,,JC,
815,I,,JC,
817,Y,,JC,
826,S,,JC,
834,N,,JC,
838,Y,,JC,
966,N,,JC,
972,N,O,JC,
981,N,O,JC,
982,I,O,JC,conference schedule
1005,N,Q,JC,
1011,I,T,JC,
1017,N,OQ,JC,
1057,I,OQ,JC,poster in a pdf with other posters that reference FCP
1075,Y,OQ,JC,"Panel46. Neural Networks across Development in Health, Anxiety/Depression and Treatment Implications46.1 Overcoming the Detrimental Effects of Motion on Resting State fMRIMichael Milham*Child Mind Institute, New York, New York"
1100,I,,JC,
1123,Y,O,JC,
1148,Y,,JC,
1170,N,O,JC,
1172,N,,JC,
1199,I,,JC,
1206,Y,,JC,
1219,Y,O,JC,
1231,Y,,JC,
1234,N,OQ,JC,
1254,Y,OQ,JC,
1272,N,,JC,
1287,Y,,JC,
1299,N,,JC,"Cortico-Cerebellar Connectivity in Autism Spectrum Disorder: what Do we Know So Far? by Alessandro Crippa1,2* , Giuseppe Del Vecchio1 , Silvia Busti Ceccarelli1 , Maria Nobile1,3 , Filippo Arrigoni1 and Paolo Brambilla4,5"
1321,I,,JC,
1330,Y,,JC,
1341,N,T,JC,
1371,N,O,JC,
1422,N,O,JC,
1444,N,,JC,
1446,I,O,JC,corrigendum
1489,Y,,JC,
1528,S,O,JC,
1541,I,O,JC,CV
1544,Y,Q,JC,
1556,N,O,JC,
9,Y,Q,MF,
27,Y,,MF,
33,Y,Q,MF,
68,Y,Q,MF,
72,N,Q,MF,
81,Y,,MF,
82,Y,Q,MF,
90,Y,,MF,
106,N,,MF,
231,S,,MF,
277,N,,MF,
279,N,,MF,
299,S,,MF,
314,N,,MF,
350,S,,MF,
357,I,,MF,
361,N,,MF,
363,N,Q,MF,
382,N,,MF,
405,N,,MF,
426,N,,MF,
443,N,,MF,
472,N,,MF,
488,S,,MF,
502,Y,,MF,
503,Y,,MF,
509,Y,,MF,
513,Y,,MF,
519,N,,MF,
523,S,,MF,
524,N,Q,MF,
554,Y,,MF,
558,N,,MF,
562,Y,,MF,
577,N,,MF,
593,Y,,MF,
619,N,,MF,
652,S,,MF,
695,Y,,MF,
700,N,,MF,
708,I,,MF,
736,N,,MF,
774,N,,MF,
787,Y,,MF,
810,Y,,MF,
819,N,,MF,
848,N,O,MF,
900,N,,MF,
952,Y,,MF,
953,I,,MF,
962,I,,MF,
971,N,QO,MF,
977,Y,,MF,
990,Y,,MF,
1031,Y,,MF,
1037,I,,MF,
1054,Y,,MF,
1077,I,,MF,
1083,Y,,MF,
1089,I,,MF,
1095,I,,MF,
1097,I,,MF,
1098,I,,MF,
1109,N,,MF,
1143,Y,O,MF,
1209,N,,MF,
1211,Y,,MF,
1214,Y,Q,MF,
1227,I,Q,MF,
1229,I,,MF,
1243,N,,MF,
1267,N,,MF,
1311,N,,MF,
1314,Y,,MF,
1333,Y,O,MF,
1334,Y,,MF,
1366,Y,Q,MF,
1372,N,O,MF,
1385,Y,,MF,
1394,N,Q,MF,
1406,N,O,MF,
1415,N,,MF,
1419,N,,MF,
1442,Y,,MF,
1448,I,,MF,
1452,N,,MF,
1464,Y,,MF,
1467,I,,MF,
1472,N,,MF,
1480,N,,MF,
1484,Y,,MF,
1488,N,,MF,
1501,N,,MF,
1504,Y,,MF,
1517,I,,MF,
1540,Y,O,MF,
