Article No,Use of Data,Article Specifiers,
32,N,,
41,Y,,
44,N,,
49,Y,Q,
60,N,Q,
62,Y,Q,
79,Y,,
82,Y,Q,
102,N,,
103,Y,,
111,N,,
130,N,,
132,Y,,
147,N,,
170,N,,
175,Y,,
186,N,,
187,S,,
191,S,,
192,Y,O,
2,Y,Q,
19,Y,,
20,Y,Q,
36,Y,Q,
42,N,,
48,N,Q,
51,Y,,
73,I,,
77,N,,
100,N,,
112,Y,,
115,Y,,
158,Y,,
194,N,,
198,N,,
200,Y,,
207,Y,,
209,N,,
222,Y,,
233,Y,,
261,Y,,
265,Y,,
272,N,,
274,Y,,
276,Y,,
282,S,,
284,Y,,
285,Y,,
293,N,,
309,Y,,
321,N,,
329,Y,,
332,N,,
333,N,,
336,S,Q,
337,Y,,
343,Y,,
350,S,,
352,N,O,
356,Y,,
372,N,,
375,N,,
388,N,,
394,Y,,
405,N,,
406,S,,
409,Y,,
411,Y,,
417,Y,,
423,Y,Q,
424,Y,,
425,Y,,
431,Y,,
441,S,,
448,N,,
457,N,,
471,N,,
472,N,,
478,N,,
482,N,,
491,S,,
501,Y,,
506,N,,
509,Y,,
521,Y,,
528,N,,
538,N,,
539,N,,
551,Y,,
561,Y,O,
562,Y,,
574,Y,,
584,Y,Q,
586,Y,,
613,Y,,
615,N,,
618,Y,,
629,Y,,
635,Y,,
645,Y,O,
657,N,,
660,Y,,
665,Y,,
675,S,,
697,Y,,
698,N,,
707,N,,
708,I,,
713,N,,
745,N,O,
752,N,,
753,Y,,
754,N,,
766,N,,
769,Y,O,
771,N,,
774,I,,
778,Y,,
794,I,,
796,N,,
811,Y,,
816,Y,O,
817,I,,
825,I,,
832,Y,,
836,Y,,
840,N,,
847,Y,,
854,N,,
877,Y,,
880,N,,
882,N,,
901,N,,
905,N,,
908,N,O,
909,Y,O,
913,S,,
927,N,,
939,Y,,
942,N,,
945,Y,O,
949,Y,,
950,Y,T,
952,Y,O,
954,Y,,
955,N,,
956,N,,
979,Y,O,
984,N,,
990,Y,,
993,N,O,
1005,N,,
1006,Y,,
1007,Y,,
1029,Y,,
1035,N,,
1039,N,,
1085,Y,T,
1090,Y,T,
1101,N,,
1107,Y,O,
1111,N,,
1117,Y,O,
1135,Y,O,
1142,Y,,
1145,Y,O,
1150,Y,O,
1151,Y,,
1168,Y,O,
1169,Y,O,
1173,Y,O,
1186,N,,
1188,N,,
1201,Y,O,
1207,Y,T,
