Article Number,Use of Data,Article Specifiers,
3,Y,,
5,Y,Q,
6,Y,Q,
12,Y,Q,
13,N,,
24,I,,
26,N,,
30,Y,,
33,Y,,
37,N,,
49,Y,Q,
53,Y,,
68,N,Q,
70,Y,,
82,S,Q,
83,N,Q,
93,Y,,
104,N,,
118,I,,
119,Y,,
120,Y,,
128,N,,
131,N,Q,
132,Y,,
135,Y,O,
138,Y,,
143,Y,,
145,Y,,
152,Y,Q,
154,Y,,
155,N,,
157,N,,
158,Y,,
161,Y,,
166,Y,,
170,N,,
171,Y,,
183,Y,,
189,Y,,
191,S,,
196,N,O,
199,Y,,
201,N,,
202,Y,,
203,N,,
204,Y,,
205,Y,,
206,Y,,
220,Y,,
224,Y,,
230,Y,,
246,Y,,
247,Y,,
248,S,,
252,Y,,
255,Y,,
257,Y,,
262,Y,,
267,Y,O,
275,Y,,
277,Y,,
288,S,,
299,S,,
307,Y,Q,
310,Y,,
311,S,,
320,Y,,
321,N,,
324,Y,,
326,Y,,
327,Y,,
330,Y,,
333,N,,
339,Y,,
342,N,,
347,N,,
348,Y,,
351,Y,,
353,Y,,
354,Y,,
359,Y,Q,
360,S,,
366,S,,
369,Y,,
375,N,,
380,Y,Q,
381,S,,
386,N,,
391,Y,O,
392,Y,,
401,S,,
405,S,,
409,Y,,
414,Y,Q,
421,Y,Q,
422,Y,,
424,Y,,
431,Y,,
434,Y,,
443,Y,,
448,N,,
451,N,,
462,Y,,
463,Y,,
468,Y,,
472,Y,,
473,N,,
475,S,,
479,N,,
484,Y,Q,
488,S,,
492,Y,,
500,Y,O (paper later withdrawn),
501,Y,,
503,Y,Q,
508,Y,,
512,Y,,
513,Y,,
515,Y,,
516,Y,,
519,Y,,
522,Y,,
523,Y,Q,
527,Y,,
534,N,,
537,Y,Q,
538,N,,
544,Y,,
545,Y,,
549,Y,,
551,Y,,
555,N,,
557,Y,,
560,Y,,
561,Y,O,
564,Y,,
573,Y,,
576,N,,
584,Y,Q,
585,N,Q,
586,Y,Q,
596,N,,
599,Y,Q,
606,Y,,
609,Y,Q,
617,Y,O,
618,Y,,
627,Y,,
628,S,,
630,Y,O,
631,N,Q,
633,N,,
642,Y,,
643,N,,
648,S,,
651,Y,O,
655,Y,,
659,Y,,
665,Y,,
667,Y,,
668,Y,,
671,Y,,
674,Y,,
676,Y,,
685,Y,,
687,N,,
697,Y,,
700,Y,,
701,Y,,
704,Y,,
705,N,Q,
716,N,,
721,Y,Q,
723,Y,Q,
725,Y,,
727,Y,T,
732,Y,,
738,Y,O,
739,Y,,
747,Y,,
750,Y,O,
756,N,,
762,Y,,
764,N,,
765,Y,,
767,N,,
772,N,,
777,Y,,
779,N,O,
783,Y,,
786,Y,O,
789,Y,Q,
791,Y,,
793,Y,,
794,I,O,http://www.humanbrainmapping.org/files/2011MeetingFiles/HBM2011AbstractBook.pdf
803,Y,O,
806,Y,O,
808,N,O,
809,Y,Q,
812,Y,,
819,Y,,
827,N,O,
844,Y,,
845,Y,,
846,N,O,
849,Y,,
852,Y,O,
853,Y,,
859,Y,Q,
871,N,,
872,N,,
873,N,,
877,Y,,
879,Y,O,
883,Y,,
884,Y,,
912,N,O,
917,S,,
923,Y,,
926,Y,,
930,Y,Q,
931,Y,O,
933,N,Q,
941,N,O,
943,Y,,
946,Y,,
953,I,,
954,Y,,
956,N,,
957,Y,O,
963,N,OQ,
965,Y,O,
968,N,O,
978,Y,,
985,Y,O,
987,Y,T,
994,Y,O,
995,Y,O,
996,Y,O,
1000,N,Q,
1002,Y,O,
1007,Y,,
1010,Y,,
1015,Y,O,
1016,Y,O,
1019,Y,T,
1021,N,O,
1024,Y,O,
1027,Y,O,
1031,Y,T,
1033,Y,,
1044,Y,,
1053,Y,,
1060,Y,,
1061,Y,Q,
1062,Y,,
1064,Y,,
1066,Y,Q,
1068,Y,,
1071,I,T,
1080,N,,
1081,N,O,
1083,I,O,
1084,Y,O,
1088,Y,,
1091,Y,T,
1094,I,,
1097,I,T,
1107,Y,O,
1116,Y,OQ,
1121,Y,,
1127,Y,,
1128,Y,O,
1130,Y,O,
1143,Y,OQ,
1145,Y,O,
1147,N,O,
1149,Y,Q,
1150,Y,O,
1151,Y,,
1153,Y,O,
1155,Y,O,
1156,Y,O,
1163,N,O,
1167,N,O,
1176,Y,,
