i,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,Citations Per Year,Journal Category,PMCID,Affiliations,Qualifiers,Data Use,Sets
0,The organization of the human cerebral cortex estimated by intrinsic functional connectivity,http://jn.physiology.org/content/106/3/1125.short,2011.0,1418,17,13091585466122172565,,"http://scholar.google.com/scholar?cites=13091585466122172565&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13091585466122172565&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:lfjghp6nrrUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYl5qV-4Yf-KOlQoxQ9mEoG-zKDbYA&scisf=4&ct=citation&cd=597&hl=en,,Journal of neurophysiology,"Yeo, BT Thomas & Krienen, Fenna M & Sepulcre, Jorge & Sabuncu, Mert R & Lashkari, Danial & Hollinshead, Marisa & Roffman, Joshua L & Smoller, Jordan W & Zollei, Lilla & Polimeni, Jonathan R & others",Am Physiological Soc,202.57142857142856,Journal,21653723,"Harvard University, Department of Psychology, Center for Brain Science, Cambridge, MA 02138, USA.",methods & physiology,Y,FCP
1,Toward discovery science of human brain function,http://www.pnas.org/content/107/10/4734.short,2010.0,1477,36,12406587470552575458,,"http://scholar.google.com/scholar?cites=12406587470552575458&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12406587470552575458&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4i0ZUZINLawJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYS0vrUL0EVs6VhxPkxPD4FfnMtkmL&scisf=4&ct=citation&cd=110&hl=en,,Proceedings of the National Academy of Sciences,"Biswal, Bharat B & Mennes, Maarten & Zuo, XiNian & Gohel, Suril & Kelly, Clare & Smith, Steve M & Beckmann, Christian F & Adelstein, Jonathan S & Buckner, Randy L & Colcombe, Stan & others",National Acad Sciences,184.625,Other,20176931,"Department of Radiology, New Jersey Medical School, Newark, NJ 07103, USA.",anatomy & histology & methods & physiology,Y,FCP
2,"DPARSF: a MATLAB toolbox for"" pipeline"" data analysis of resting-state fMRI",http://journal.frontiersin.org/article/10.3389/fnsys.2010.00013/abstract,2010.0,1015,14,14114233685643467026,,"http://scholar.google.com/scholar?cites=14114233685643467026&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14114233685643467026&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:EpmhtcHU38MJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYcvOA-Vz72rW4jEg3xClciDqu7R5t&scisf=4&ct=citation&cd=350&hl=en,"... Data were selected from a large sample resting-state fMRI dataset of our group, which has beenpublicly released in the “1000 Functional Connectomes” Project 4 . We selected 86 young healthyvolunteers (48 females: 20.8 ± 1.6 years old, range 18–25; and 38 males: 20.7 ...",Frontiers in systems neuroscience,"Yan, Chaogan & Zang, Yufeng",Frontiers,126.875,Journal,20577591,"State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University Beijing, China.",data analysis & REST & resting-state fMRI & DPARSF & SPM,Y,FCP
3,BrainNet Viewer: a network visualization tool for human brain connectomics,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068910,2013.0,522,15,14407808839267638629,,"http://scholar.google.com/scholar?cites=14407808839267638629&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14407808839267638629&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Zd1HsM3R8scJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYeP28yRmr3gngtOL7_hY-FESPh2ep&scisf=4&ct=citation&cd=394&hl=en,"... fMRI dataset. The dataset was downloaded from the 1000 Functional ConnectomesProject (www.nitrc.org/projects/fcon_1000/), which is a worldwide multi-site projectwith fMRI data sharing for the imaging community. The resting ...",PloS one,"Xia, Mingrui & Wang, Jinhui & He, Yong",Public Library of Science,104.4,Journal,23861951,"State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.",anatomy & histology & methods & physiology,Y,FCP
4,Cluster failure: why fMRI inferences for spatial extent have inflated false-positive rates,http://www.pnas.org/content/early/2016/06/27/1602413113.short,2016.0,202,12,12889086569341255184,,"http://scholar.google.com/scholar?cites=12889086569341255184&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12889086569341255184&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:EP7XDPI737IJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI2aIDKom8SdmA_jkWzECj7HbR_hvC&scisf=4&ct=citation&cd=133&hl=en,"... Another example of the use of open data is our previous work (14), where a total of 1,484resting-state fMRI datasets from the 1,000 Functional Connectomes Project (4) were used asnull data for task-based, single-subject fMRI analyses with the SPM software. ...",Proceedings of the National Academy of Sciences,"Eklund, Anders & Nichols, Thomas E & Knutsson, Hans",National Acad Sciences,101.0,Other,27503879,,,Y,FCP
5,The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism,http://www.nature.com/mp/journal/v19/n6/abs/mp201378a.html,2014.0,354,22,9846320325644586589,,"http://scholar.google.com/scholar?cites=9846320325644586589&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9846320325644586589&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:XQ7BCisopYgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOeVrHwQl5OaetcaDNpVL3ND3-RgG&scisf=4&ct=citation&cd=0&hl=en,"Abstract Autism spectrum disorders (ASDs) represent a formidable challenge for psychiatry and neuroscience because of their high prevalence, lifelong nature, complexity and substantial heterogeneity. Facing these obstacles requires large-scale multidisciplinary ",Molecular psychiatry,"Di Martino, Adriana & Yan, ChaoGan & Li, Qingyang & Denio, Erin & Castellanos, Francisco X & Alaerts, Kaat & Anderson, Jeffrey S & Assaf, Michal & Bookheimer, Susan Y & Dapretto, Mirella & others",Nature Publishing Group,88.5,Journal,23774715,"1] Yale School of Medicine, New Haven, CT, USA [2] Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA. && Stanford University, Stanford, CA, USA. && 1] Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, UCLA, Los Angeles, CA, USA [2] Interdepartmental Neuroscience Program, UCLA, Los Angeles, CA, USA [3] David Geffen School of Medicine, UCLA, Los Angeles, CA, USA [4] Ahmanson-Lovelace Brain Mapping Center, UCLA, Los Angeles, CA, USA. && 1] Olin Neuropsychiatry Research Center, Institute of Living at Hartford Hospital, Hartford, CT, USA [2] Yale School of Medicine, New Haven, CT, USA. && 1] Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, UCLA, Los Angeles, CA, USA [2] Interdepartmental Neuroscience Program, UCLA, Los Angeles, CA, USA [3] Ahmanson-Lovelace Brain Mapping Center, UCLA, Los Angeles, CA, USA. && Oregon Health and Science University, Portland, OR, USA. && Institute for Clinical Radiology, Ludwig Maximilians University Munich, Munich, Germany. && 1] Nathan S Kline Institute for Psychiatric Research, Orangeburg, NY, USA [2] Center for the Developing Brain, Child Mind Institute, New York, NY, USA. && Department of Psychology, San Diego State University, San Diego, CA, USA. && 1] Waisman Laboratory for Brain Imaging and Behavior, University of Wisconsin, Madison, WI, USA [2] Department of Psychiatry, Division of Child and Adolescent Psychiatry, University of Wisconsin, Madison, WI, USA. && KU Leuven, Leuven, Belgium. && 1] Netherlands Institute for Neuroscience, Royal Dutch Academy of Science (KNAW), Amsterdam, The Netherlands [2] BCN NeuroImaging Center, University Medical Center Groningen, Rijksuniversiteit Groningen, Groningen, The Netherlands. && Translational MRI, University of Leuven (KU Leuven), Leuven, Belgium. && 1] Division of Neuroradiology, University of Utah, Salt Lake City, UT, USA [2] Interdepartmental Program in Neuroscience, University of Utah, Salt Lake City, UT, USA [3] The Brain Institute at the University of Utah, Salt Lake City, UT, USA [4] Department of Bioengineering, University of Utah, Salt Lake City, UT, USA. && 1] Department of Psychology, Carnegie Mellon University, Pittsburgh, PA, USA [2] Psychology, Ben Gurion University of the Negev, Beersheba, Israel. && Behavioral Neuroscience and Psychiatry Departments, and Advanced Imaging Research Center, Oregon Health and Science University, Portland, OR, USA. && Yale School of Medicine, New Haven, CT, USA. && Departments of Psychiatry and Neurology, University of Pittsburgh, Pittsburgh, PA, USA. && Nathan S Kline Institute for Psychiatric Research, Orangeburg, NY, USA. && Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience at the NYU Child Study Center, New York University Langone Medical Center, New York, NY, USA. && University of Pittsburgh School of Medicine, Pittsburgh, PA, USA. && Department of Psychiatry and Trinity College Institute of Neuroscience, Trinity College Dublin, Dublin, UK. && 1] Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience at the NYU Child Study Center, New York University Langone Medical Center, New York, NY, USA [2] Nathan S Kline Institute for Psychiatric Research, Orangeburg, NY, USA. && Laboratory for Neurocognitive and Imaging Research, Kennedy Krieger Institute, Baltimore, MD, USA. && 1] Center for Cognitive Neuroscience, UCLA, Los Angeles, CA, USA [2] Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, UCLA, Los Angeles, CA, USA [3] Interdepartmental Neuroscience Program, UCLA, Los Angeles, CA, USA [4] David Geffen School of Medicine, UCLA, Los Angeles, CA, USA. && University of Michigan, Ann Arbor, MI, USA. && 1] Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience at the NYU Child Study Center, New York University Langone Medical Center, New York, NY, USA [2] KU Leuven, Leuven, Belgium. && 1] Laboratory for Neurocognitive and Imaging Research, Kennedy Krieger Institute, Baltimore, MD, USA [2] Departments of Neurology and Psychiatry, Johns Hopkins School of Medicine, Baltimore, MD, USA. && Division of Biology, Caltech, Pasadena, CA, USA. && 1] Division of Humanities and Social Sciences, California Institute of Technology, Pasadena, CA, USA [2] Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN, USA. && Center for the Developing Brain, Child Mind Institute, New York, NY, USA. && Weill-Cornell Medical College, New York, NY, USA.",physiopathology & pathology,Y,ADHD200;ABIDE
6,A comprehensive assessment of regional variation in the impact of head micromovements on functional connectomics,http://www.sciencedirect.com/science/article/pii/S1053811913002127,2013.0,407,11,2472366839706300242,,"http://scholar.google.com/scholar?cites=2472366839706300242&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2472366839706300242&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Ui8mo4qcTyIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYa_cRDRr3k4mFi6GRthHNTW1YaYIL&scisf=4&ct=citation&cd=314&hl=en,"... (2012), Beijing and Cambridge datasets) imaging datasets from the 1000 Functional ConnectomesProject and the International Neuroimaging Data-sharing Initiative. ... TRT reliability based on theNYU TRT dataset; all data are available at http://fcon_1000.projects.nitrc.org. ...",Neuroimage,"Yan, ChaoGan & Cheung, Brian & Kelly, Clare & Colcombe, Stan & Craddock, R Cameron & Di Martino, Adriana & Li, Qingyang & Zuo, XiNian & Castellanos, F Xavier & Milham, Michael P",Elsevier,81.4,Journal,23499792,"Nathan Kline Institute for Psychiatric Research, Orangeburg, NY, USA.",methods & physiology,Y,ADHD200
7,Salience processing and insular cortical function and dysfunction,http://www.nature.com/nrn/journal/v16/n1/abs/nrn3857.html,2015.0,227,10,7308073033482135980,,"http://scholar.google.com/scholar?cites=7308073033482135980&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=7308073033482135980&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:rGlQQbR9a2UJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJQMjO2WrH8jNm3_uef3-9RIRYdKmJ&scisf=4&ct=citation&cd=711&hl=en,,Nature Reviews Neuroscience,"Uddin, Lucina Q",Nature Research,75.66666666666667,Journal,25406711,"Department of Psychology, University of Miami, PO Box 248185-0751, Coral Gables, Florida 33124, USA, Neuroscience Program, University of Miami Miller School of Medicine, Miami, Florida 33136, USA.",physiopathology & pathology & physiology,N,ABIDE
8,Impact of in-scanner head motion on multiple measures of functional connectivity: relevance for studies of neurodevelopment in youth,http://www.sciencedirect.com/science/article/pii/S1053811911014650,2012.0,441,12,13114045645298311844,,"http://scholar.google.com/scholar?cites=13114045645298311844&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13114045645298311844&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:pKJDgAhz_rUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYftKFKAGnh8ahWl7Nq5M6Ri9gtIiU&scisf=4&ct=citation&cd=437&hl=en,"... section. fALFF was calculated as described by Zuo et al. (2010a), and wasimplemented using scripts written by Biswal et al. (2010) as part of the 1000 functionalconnectomes project (www.nitrc.org/projects/fcon_1000/). Briefly ...",Neuroimage,"Satterthwaite, Theodore D & Wolf, Daniel H & Loughead, James & Ruparel, Kosha & Elliott, Mark A & Hakonarson, Hakon & Gur, Ruben C & Gur, Raquel E",Elsevier,73.5,Journal,22233733,"Department of Psychiatry, University of Pennsylvania, Philadelphia, PA 19104, USA. sattertt@upenn.edu",physiology & growth & development,S,FCP
9,A whole brain fMRI atlas generated via spatially constrained spectral clustering,http://onlinelibrary.wiley.com/doi/10.1002/hbm.21333/full,2012.0,424,15,5512117428763993738,,"http://scholar.google.com/scholar?cites=5512117428763993738&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5512117428763993738&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:iqa31Zj5fkwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYWUuECeRA_xd4PgrvSb991hKLCq1l&scisf=4&ct=citation&cd=199&hl=en,"... Kriegeskorte et al., 2010], the analysis was performed on an independent dataset, the New YorkUniversity test-retest dataset [Shehzad et al., 2009] freely available through the 1,000 FunctionalConnectomes Project [Biswal et al., 2010] (http://fcon_1000.projects.nitrc.org). ...",Human brain mapping,"Craddock, R Cameron & James, G Andrew & Holtzheimer, Paul E & Hu, Xiaoping P & Mayberg, Helen S",Wiley Online Library,70.66666666666667,Journal,21769991,"Department of Neuroscience, Baylor College of Medicine, Houston, Texas, USA. cameron.craddock@vt.edu",anatomy & histology & metabolism & methods,Y,FCP
