,Journal
neuroimage,69
human brain mapping,30
frontiers in neuroscience,24
biorxiv,23
plos one,21
neuroimage: clinical,20
scientific reports,16
frontiers in human neuroscience,13
brain connectivity,13
cerebral cortex,12
autism research,10
gigascience,10
brain imaging and behavior,9
scientific data,9
neuroscience \& biobehavioral reviews,9
molecular autism,9
biological psychiatry,8
brain structure and function,7
biological psychiatry: cognitive neuroscience and neuroimaging,7
proceedings of the national academy of sciences,7
developmental cognitive neuroscience,6
cortex,6
nature neuroscience,6
autism imaging and devices,6
journal of the american academy of child \& adolescent psychiatry,6
frontiers in neuroinformatics,6
neuropsychopharmacology,5
brain,5
psychiatry research: neuroimaging,5
journal of the american statistical association,4
trends in cognitive sciences,4
developmental science,4
neuroinformatics,4
neuron,4
frontiers in psychiatry,4
social cognitive and affective neuroscience,4
journal of neuroscience methods,4
journal of child psychology and psychiatry,4
psychological medicine,4
autism,3
alzheimer's \& dementia: the journal of the alzheimer's association,3
biomed research international,3
clinical neurophysiology,3
ieee/acm transactions on computational biology and bioinformatics,3
brain informatics,3
behavioural brain research,3
journal of autism and developmental disorders,3
jama psychiatry,3
brain and behavior,3
journal of neuroimaging,3
journal of affective disorders,3
current opinion in neurobiology,3
nature,2
nature medicine,2
the effects of social drinking in older age on cognition and brain health,2
research ideas and outcomes,2
journal of neuroscience,2
journal of child and adolescent psychopharmacology,2
journal of medical imaging and health informatics,2
the annals of applied statistics,2
chinese science bulletin,2
pattern recognition,2
cns neuroscience \& therapeutics,2
attention-deficit hyperactivity disorder in adults and children,2
nature communications,2
european child \& adolescent psychiatry,2
arxiv preprint arxiv:1511.06427,2
neuroreport,2
medical image analysis,2
arxiv preprint arxiv:1506.08301,2
nature reviews neuroscience,2
neurocomputing,2
journal of neurophysiology,2
arxiv preprint arxiv:1607.03392,2
research in autism spectrum disorders,2
arxiv preprint arxiv:1605.03707,1
magnetic resonance insights,1
journal of magnetic resonance imaging,1
addiction,1
international journal of speech-language pathology,1
heliyon,1
journal of neuroscience research,1
network neuroscience,1
nature protocols,1
development and psychopathology,1
arxiv preprint arxiv:1508.05414,1
statistics in medicine,1
pediatric radiology,1
neurotherapeutics,1
scholarpedia,1
arxiv preprint arxiv:1610.08619,1
arxiv preprint arxiv:1502.03853,1
arpn j eng appl sci,1
schizophrenia research,1
journal of the royal statistical society: series b (statistical methodology),1
arxiv preprint arxiv:1512.08298,1
arxiv preprint arxiv:1605.06359,1
significance,1
american journal of neuroradiology,1
arxiv preprint arxiv:1611.01129,1
oxford textbook of correctional psychiatry,1
european journal of radiology,1
frontiers in psychology,1
the lancet neurology,1
undergraduate research newsletter,1
journal of classification,1
arxiv preprint arxiv:1506.06048,1
nmr in biomedicine,1
molecular psychiatry,1
progress in neurobiology,1
journal of medical and biological engineering,1
drug and alcohol dependence,1
the neuroscientist,1
arxiv preprint arxiv:1606.02401,1
current opinion in psychiatry,1
biology of sex differences,1
arxiv preprint arxiv:1608.03045,1
siam journal on optimization,1
pharmacology \& therapeutics,1
nicotine \& tobacco research,1
neuropsychologia,1
cns spectrums,1
frontiers in computational neuroscience,1
trends in neurosciences,1
ieee transactions on cybernetics,1
computational statistics \& data analysis,1
arxiv preprint arxiv:1504.06074,1
der nervenarzt,1
journal of neural transmission,1
arxiv preprint arxiv:1701.08140,1
arxiv preprint arxiv:1510.08045,1
brain sciences,1
arxiv preprint arxiv:1512.01947,1
medical and biological sciences,1
computational intelligence and neuroscience,1
annals of clinical and translational neurology,1
journal of psychiatry \& neuroscience: jpn,1
the journal of neurobehavioral sciences,1
arxiv preprint arxiv:1603.03815,1
international journal of data science and analytics,1
journal of developmental and behavioral pediatrics,1
expert systems with applications,1
plos biol,1
frontiers in neuroanatomy,1
international journal of developmental neuroscience,1
"information-based methods for neuroimaging: analyzing structure, function and dynamics",1
journal of the international neuropsychological society,1
theory \& psychology,1
arxiv preprint arxiv:1512.08643,1
european journal of neuroscience,1
arxiv preprint arxiv:1511.02976,1
epilepsy research,1
ieee transactions on autonomous mental development,1
brain and language,1
arxiv preprint arxiv:1512.09206,1
the journal of the american society of anesthesiologists,1
neuroscience,1
arxiv preprint arxiv:1608.03619,1
电子科技大学学报,1
journal of neurotrauma,1
poznan studies in contemporary linguistics,1
arxiv preprint arxiv:1609.03372,1
journal of child neurology,1
personalized medicine,1
peerj,1
the wiley handbook on the cognitive neuroscience of addiction,1
epilepsy \& behavior,1
arxiv preprint arxiv:1701.05363,1
neuropsychology review,1
statistica sinica,1
advances in child development and behavior,1
the adhd report,1
arxiv preprint arxiv:1609.00360,1
annual review of public health,1
frontiers in systems neuroscience,1
medical engineering \& physics,1
recent advances and the future generation of neuroinformatics infrastructure,1
proceedings of the american mathematical society,1
experimental \& molecular medicine,1
arxiv preprint arxiv:1602.05455,1
revista mexicana de neurociencia,1
computerized medical imaging and graphics,1
journal of biomedical informatics,1
arxiv preprint arxiv:1612.03925,1
neuropsychiatry (london),1
physical review e,1
arxiv preprint arxiv:1605.09282,1
arxiv preprint arxiv:1606.08199,1
pharmacoeconomics,1
magnetic resonance in medical sciences,1
intelligence,1
hku theses online (hkuto),1
dialogues in clinical neuroscience,1
abstracts/int. j. devl neuroscience,1
experimental neurobiology,1
acm sigmod record,1
"2 center for mind/brain sciences, university of trento, rovereto, italy",1
harvard review of psychiatry,1
diabetes,1
phil. trans. r. soc. b,1
arxiv preprint arxiv:1611.09897,1
ieee transactions on medical imaging,1
medical \& biological engineering \& computing,1
medical physics,1
neuroscience bulletin,1
arxiv preprint arxiv:1610.08484,1
arxiv preprint arxiv:1612.03760,1
arxiv preprint arxiv:1511.01863,1
