Title,Authors,Year,Citations,URL
Generalized Prediction Model for Detection of Psychiatric Disorders,"Sen, Bhaskar",2016,2,https://era.library.ualberta.ca/files/ctt44pm88x
Automatic Detection of Brain Functional Disorder Using Imaging Data,"Dey, Soumyabrata",2014,1,https://pdfs.semanticscholar.org/68f8/d32fc22fbb957a38058194551a6f9e573cee.pdf
Evaluating nonlinear coregistration of BOLD EPI and T1w images,"Huntenburg, Julia M",2014,1,http://pubman.mpdl.mpg.de/pubman/item/escidoc:2327525/component/escidoc:2327523/master_thesis_huntenburg_4686947.pdf
Machine Learning Approaches for Disease State Classification from Neuroimaging Data,"Wang, Peng",2013,1,https://etd.auburn.edu/handle/10415/3623
Development of human brain connectivity in health and disease,"Colby, John Benjamin",2012,1,https://escholarship.org/uc/item/2p3471tj.pdf
Image processing methods for human brain connectivity analysis from in-vivo diffusion MRI,"Esteban SanzDranguet, Oscar",2013,0,http://oa.upm.es/22195/1/00-main.pdf
Time-varying networks estimation and Chinese words segmentation,"Shu, Xinxin",2014,0,https://www.ideals.illinois.edu/handle/2142/50539
Multimodality MRI-based Brain Network Analysis: Applications to Genetic Risk for Alzheimer's Disease,"Brown, Jesse Aaron",2013,0,http://escholarship.org/uc/item/26x0r545.pdf
The Olfactory System in Schizophrenia: an rsfMRI Study of the Piriform Cortex,"Kiparizoska, Sara",2016,0,http://thesis.honors.olemiss.edu/id/eprint/538
Structured Bayesian Learning Through Mixture Models,"Petralia, Francesca",2013,0,https://pdfs.semanticscholar.org/f7e2/de76c27543f9f4be4887dc674a87b30ddc0e.pdf
Conectividade funcional em repouso em crianças com transtorno de déficit de atenção/hiperatividade,"Kieling, Renata Rocha",2013,0,http://repositorio.pucrs.br:8080/dspace/handle/10923/5567
The Organization of Corticostriatal Connectivity in the Human Brain,"Choi, Eun Young",2013,0,https://dash.harvard.edu/handle/1/11169789
A study of dynamic functional brain connectivity using functional magnetic resonance imaging (fMRI): method and applications,"Fu, Zening & 傅泽宁",2016,0,https://hub.hku.hk/handle/10722/233921
Robust Statistical Inference in Human Brain Mapping,"Yang, Xue",2013,0,http://etd.library.vanderbilt.edu/available/etd-10232013-102842/unrestricted/ThesisXueYang.pdf
Modelagem matemática-computacional da conectividade cerebral em ressonância magnética funcional para o estudo do estado de repouso,"Vieira, Gilson",2011,0,http://www.teses.usp.br/teses/disponiveis/95/95131/tde-03072012-172159/en.php
基于多核异质系统的脑网络计 算加速平台,吴迪,2011,0,http://oaps.lib.tsinghua.edu.cn/handle/123456789/2219
A Machine Learning Study of Intrinsic Functional Connectivity in Autism Spectrum Disorders,"Chen, Colleen Pam",2014,0,http://sdsu-dspace.calstate.edu/bitstream/handle/10211.3/135670/Chen_sdsu_0220N_10607.pdf?sequence=1
結構與功能性大腦磁振影像資訊擷取,張哲維,2014,0,http://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0001-1302201414532200
A Bayesian analysis of weighted stochastic block models with applications in brain functional connectomics,"Bryant, Christopher",2016,0,http://gradworks.umi.com/10/14/10145986.html
Characterization of normal and pathological patterns of diffusion anisotropy with diffusion tensor imaging,"Jakab, Andras",2012,0,https://dea.lib.unideb.hu/dea/handle/2437/128731
Identifying the Brain's most Locally Connected Regions,"Cao, Wenchao",2014,0,http://rave.ohiolink.edu/etdc/view?acc_num=ucin1406821683
Scalable Machine Learning Methods for Massive Biomedical Data Analysis,"Watanabe, Takanori",2015,0,http://takwatanabe.me/pdf/thesis-final.pdf
Confiabilidade em ressonância magnética funcional no estado de repouso em diferentes estratégias de pré-processamento,"Aurich, Nathassia Kadletz & others",2014,0,http://tede2.pucrs.br:8080/tede2/handle/tede/3071
Developing advanced methods for covariance representations in computer vision,"Zhang, Jianjia",2016,0,http://ro.uow.edu.au/theses/4833/
Learning functional brain atlases modeling inter-subject variability,"Abraham, Alexandre",2015,0,https://tel.archives-ouvertes.fr/tel-01331308/
