i,authors,affiliations,qualifiers
1560,Jian-Bao Wang;;Li-Jun Zheng;;Qing-Jiu Cao;;Yu-Feng Wang;;Li Sun;;Yu-Feng Zang;;Hang Zhang,"Center for Cognition and Brain Disorders and the Affiliated Hospital, Hangzhou Normal UniversityHangzhou, China.;;Institute of Mental Health, The Sixth Hospital, Peking UniversityBeijing, China.;;Paul C. Lauterbur Research Centers for Biomedical Imaging, Shenzhen Institutes of Advanced Technology, Chinese Academy of SciencesShenzhen, China.;;Zhejiang Key Laboratory for Research in Assessment of Cognitive ImpairmentsHangzhou, China.;;Institutes of Psychological Sciences, College of Education, Hangzhou Normal UniversityHangzhou, China.",attention deficit hyperactivity disorder;;resting state fMRI;;multi-site dataset;;voxel-wise whole-brain analysis;;ADHD-200
1563,Tien-Wen Lee;;Shao-Wei Xue,"aDepartment of Psychology, Center for Cognition and Brain Disorders, Hangzhou Normal University bZhejiang Key Laboratory for Research in Assessment of Cognitive Impairments, Hangzhou, Zhejiang Province, China cDepartment of Psychiatry, Dajia Lee's General Hospital, Lee's Medical Corporation, Taichung, Taiwan.",
1570,Satoru Hayasaka,"University of Texas at Austin, 12330, Psychology , 108 E Dean Keeton St. , Austin, Texas, United States , 78712 ; hayasaka@utexas.edu.",Brain networks;;Graph theory;;Functional connectivity;;Resting-state functional connectivity magnetic resonance imaging (R-fMRI)
1571,Elizabeth B Torres;;Sejal Mistry;;Carla Caballero;;Caroline P Whyatt,"Department of Biomathematics, Rutgers UniversityPiscataway, NJ, United States.;;Department of Psychology, Rutgers UniversityPiscataway, NJ, United States.;;Computer Science Department and Rutgers Center for Cognitive Science, Center for Biomedical Imaging and ModelingNew Brunswick, NJ, United States.",autism;;stochastic signatures;;resting state fMRI;;females;;head micro-movements;;AS
1574,Christopher R Madan,"Department of Psychology, Boston CollegeChestnut Hill, MA, United States.",structural MRI;;aging;;cortical structure;;neuroimaging;;gyrification;;cortical thickness
1578,Priya Aggarwal;;Anubha Gupta;;Ajay Garg,"Signal processing and Bio-medical Imaging Lab, Department of Electronics and Communication Engineering, Indraprastha Institute of Information Technology-Delhi (IIIT-D), India. Electronic address: priyaa@iiitd.ac.in.;;Department of Neuroradiology, Neurosciences Centre, All India Institute of Medical Sciences (AIIMS), Delhi, India. Electronic address: drajaygarg@gmail.com.;;Signal processing and Bio-medical Imaging Lab, Department of Electronics and Communication Engineering, Indraprastha Institute of Information Technology-Delhi (IIIT-D), India. Electronic address: anubha@iiitd.ac.in.",Resting-state brain networks;;Time series analysis;;Elastic net;;Functional MRI;;Functional connectivity
1581,Martin Tik;;André Hoffmann;;Ronald Sladky;;Livia Tomova;;Allan Hummer;;Lucia Navarro de Lara;;Henryk Bukowski;;Jürgen Pripfl;;Bharat Biswal;;Claus Lamm;;Christian Windischberger,"Social, Cognitive and Affective Neuroscience Unit (SCAN), Department of Basic Psychological Research and Research Methods, Faculty of Psychology, University of Vienna, Austria.;;MR Center of Excellence, Center for Medical Physics and Biomedical Engineering, Medical University of Vienna, Austria. Electronic address: christian.windischberger@meduniwien.ac.at.;;MR Center of Excellence, Center for Medical Physics and Biomedical Engineering, Medical University of Vienna, Austria.;;Department of Radiology, UMDNJ-New Jersey Medical School, Newark, NJ, USA.",ICA;;1000 Functional connectomes project;;Resting-state;;TMS;;Clinical application
1588,Makoto Fukushima;;Richard F Betzel;;Ye He;;Marcel A de Reus;;Martijn P van den Heuvel;;Xi-Nian Zuo;;Olaf Sporns,"CAS Key Laboratory of Behavioral Science, Institute of Psychology, Beijing, 100101, China.;;Department of Psychiatry, Brain Center Rudolf Magnus, University Medical Center Utrecht, Utrecht, The Netherlands.;;Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN, 47405, USA; Department of Bioengineering, University of Pennsylvania, Philadelphia, PA, 19104, USA.;;Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN, 47405, USA; Indiana University Network Science Institute, Bloomington, IN, 47405, USA.;;Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN, 47405, USA. Electronic address: mfukushi@indiana.edu.;;Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN, 47405, USA; CAS Key Laboratory of Behavioral Science, Institute of Psychology, Beijing, 100101, China.",Connectomics;;Modularity;;Networks;;Time-resolved functional connectivity;;Resting state
1590,Shaojie Chen;;Lei Huang;;Huitong Qiu;;Mary Beth Nebel;;Stewart H Mostofsky;;James J Pekar;;Martin A Lindquist;;Ani Eloyan;;Brian S Caffo,"Department of Biostatistics, Brown University, Providence, Rhode Island, United States of America.;;Department of Radiology and Radiological Science, Johns Hopkins University, Baltimore, United States of America.;;Department of Biostatistics, Johns Hopkins University, Baltimore, United States of America.;;Kennedy Krieger Institute, Baltimore, United States of America.;;School of Medicine, Johns Hopkins University, Baltimore, United States of America.;;Department of Neurology, Johns Hopkins University, Baltimore, United States of America.",diagnostic imaging;;methods
1591,Ahmad Chaddad;;Christian Desrosiers;;Lama Hassan;;Camel Tanougast,"Laboratory for Imagery, Vision and Artificial Intelligence, Ecole de Technologie Supérieure, Montreal, Canada.;;Laboratory of Conception, Optimization and Modeling of Systems, University of Lorraine, Metz, France.;;Laboratory for Imagery, Vision and Artificial Intelligence, Ecole de Technologie Supérieure, Montreal, Canada. ahmad8chaddad@gmail.com.;;Laboratory of Conception, Optimization and Modeling of Systems, University of Lorraine, Metz, France. ahmad8chaddad@gmail.com.",Radiomics;;Hippocampus;;Autism spectrum disorder
1593,Ariel Haimovici;;Enzo Tagliazucchi;;Pablo Balenzuela;;Helmut Laufs,"Department of Neurology, University Hospital Kiel, Arnold-Heller-Straße 3, 24105, Kiel, Germany.;;Instituto de Física de Buenos Aires (IFIBA), CONICET, Av Cantilo s/n, Pabellón 1, Ciudad Universitaria, 1428, Buenos Aires, Argentina.;;Departamento de Física, Facultad de Cs. Exactas y Naturales, Universidad de Buenos Aires, Av. Cantilo s/n, Pabellón 1, Ciudad Universitaria, 1428, Buenos Aires, Argentina.;;Instituto de Física de Buenos Aires (IFIBA), CONICET, Av Cantilo s/n, Pabellón 1, Ciudad Universitaria, 1428, Buenos Aires, Argentina. tagliazucchi.enzo@googlemail.com.;;Department of Neurology and Brain Imaging Center, Goethe University Frankfurt am Main, Schleusenweg 2-16, 60528, Frankfurt am Main, Germany. tagliazucchi.enzo@googlemail.com.;;Departamento de Física, Facultad de Cs. Exactas y Naturales, Universidad de Buenos Aires, Av. Cantilo s/n, Pabellón 1, Ciudad Universitaria, 1428, Buenos Aires, Argentina. tagliazucchi.enzo@googlemail.com.;;Department of Neurology and Brain Imaging Center, Goethe University Frankfurt am Main, Schleusenweg 2-16, 60528, Frankfurt am Main, Germany.;;Netherlands Institute for Neuroscience, Meibergdreef 47, 1105 BA, Amsterdam-Zuidoost, Netherlands. tagliazucchi.enzo@googlemail.com.",
1595,Jonathan D Power;;Mark Plitt;;Prantik Kundu;;Peter A Bandettini;;Alex Martin,"Department of Radiology, Mount Sinai Hospital, New York City, New York, United States of America.;;National Institute of Mental Health, National Institute of Health, Bethesda, Maryland, United States of America.",
1596,Minyoung Jung;;Yiheng Tu;;Courtney Amanda Lang;;Ana Ortiz;;Joel Park;;Kristen Jorgenson;;Xue-Jun Kong;;Jian Kong,"Department of Psychiatry, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA.;;Department of Psychiatry, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA. Electronic address: kongj@nmr.mgh.harvard.edu.;;Department of Internal Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Lexington, MA, USA.;;Department of Psychiatry, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA; Research Center for Child Mental Development, University of Fukui, Eiheiji, Fukui, Japan.",Lateral occipital cortex;;DTI;;Autism;;fALFF;;Surface area;;Resting-state fMRI
